Date,RegionName,InventoryRaw_AllHomes,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio
2016-01-31,Alabama,26744,,123250,155000,264000,329000,170000,229000,119900,169900,3.71816335587227,3.80890897353131,3.7117377681369,5000,9000,5000,700,760,950,1400,,950,900,,775,950,925
2016-01-31,Alaska,2525,124900,185000,269999.5,364900,450000,265000,210000,377000,279000,2.36323374596145,2.50933544885454,2.3580619619334,7000,5000,7500,900,1250,1650,2170,,1650,1497.5,1275,1250,1700,
2016-01-31,Arizona,31361,,155000,228850,314900,417490,249008,165000,209900,259000,2.31843022376459,2.93578970049558,2.25648740127867,5400,5000,5600,839.5,958.5,1195,1297,,1250,1195,725,1000,1275,1250
2016-01-31,Arkansas,15877,99500,86500,134900,237000,349900,149900,149900,159900,149900,3.8734667527437,,3.8734667527437,5000,,5000,615,650,905,1500,,1000,,600,654,1000,1000
2016-01-31,California,59925,285000,325000,399900,535000,775000,439950,399000,579900,450000,3.07692307692308,2.94757419395853,3.09278350515464,12000,10000,13500,1827,2160,2300,2500,2900,2300,2400,1800,2067,2299,1700
2016-01-31,Colorado,17928,224900,279900,334900,458000,615888,369500,299000,344950,375000,2.85741501782653,3.44851369059935,2.78551532033426,10000,10000,10000,1309,1549,1790,2200,2400,1695,1495,,1420,1795,1095
2016-01-31,Connecticut,19068,128422,175900,245000,395000,549000,274900,189000,179900,295000,4.01472064235531,4.08673894912427,4.00667779632721,10000,8050,10000,1200,1395,1700,2100,,1700,1450,1150,1300,1800,1104.5
2016-01-31,Delaware,6443,139900,179500,239900,339990,575000,265500,257900,,267655,3.2258064516129,3.80223400279597,3.13676286072773,8000,9510,8000,900,1075,1300,1700,,1300,1095,900,995,1350,
2016-01-31,DistrictofColumbia,1038,365500,525000,569900,699900,1299495,496000,417000,,614900,3.50938771991404,3.11241810279586,3.7827352085354,15100,12350,24925,2174,2950,3195,2999,,2550,2395,,2220,2950,1750
2016-01-31,Florida,134355,120000,169000,230429.5,325000,495000,249500,229000,255000,254000,3.35570469798657,3.79714361795403,3.2258064516129,9600,9100,9900,1336,1550,1690,2000,2900,1700,1800,1550,1600,1650,1595
2016-01-31,Georgia,53052,135000,120000,149900,252100,360990,196000,188300,,198012.5,3.42007434944238,3.22841000807103,3.44778254649499,5900,5400,5900,1119,1100,1095,1450,1825,1150,1195,,1195,1150,1150
2016-01-31,Hawaii,7648,369000,499000,599000,860000,1100000,559000,447999,795000,660000,3.85728420410502,3.72953884503532,4.00801603206413,20000,15000,25000,1700,2200,2600,3000,2600,2300,2198,,2000,2500,1350
2016-01-31,Idaho,9168,153900,159900,209900,259888,335000,229000,251000,189900,227900,2.73224043715847,4.08163265306123,2.70416441319632,5100,7750,5100,595,695,1050,1200,,1000,,699.5,675,1000,
2016-01-31,Indiana,27245,65000,74900,126900,227895,298500,130000,119900,72500,130000,3.5405893186977,3.35846470185058,3.55411954765751,5000,4000,5000,665,750,995,1250,,900,950,600,789,900,975
2016-01-31,Iowa,11006,,106700,156100,249900,339900,147900,159900,129900,145900,3.33555703802535,2.66666666666666,3.41296928327645,5000,4000,5000,650,825,1145,,,1100,1045,755,795,1100,800
2016-01-31,Kansas,9026,50000,69999,125600,229000,319900,145000,,135000,147000,3.57129081612974,,3.57129081612974,5000,,5000,620,750,1050,1395,,1060,,795,750,1095,
2016-01-31,Kentucky,17072,84900,109900,144900,249900,325000,150000,144900,137400,150000,3.4572195229814,3.05275757800733,3.47658217223435,5000,4950,5000,710,775,1000,1495,,990,937.5,700,765,995,899
2016-01-31,Louisiana,12419,,112000,169900,266000,379900,187700,,,188000,3.44827586206896,4.16666666666666,3.43347639484979,6000,5100,6000,895,900,1150,1600,,1200,1362.5,1100,1022.5,1200,1300
2016-01-31,Maine,10004,122500,160000,199000,244450,298000,199000,238000,150000,195000,4.57942579137727,3.60668723421996,4.76644423260247,8600,6250,9000,897.5,1125,1350,,,1400,,1200,1000,1375,
2016-01-31,Maryland,22862,,199000,318855.5,472945,584900,263000,215000,322995,269900,3.96854768397425,3.84763370527126,4,10000,8000,10000,1350,1499.5,1695,1997.5,,1650,1525,1150,1485,1700,1650
2016-01-31,Massachusetts,17679,214450,259900,319900,489000,510000,350000,314900,290000,365900,3.22684737011939,3.03122158229766,3.32116788321168,10000,10000,10000,1950,2300,2800,3600,4400,2500,2500,2300,2400,2600,1650
2016-01-31,Michigan,45978,,110000,149900,288000,399000,130000,169000,110000,129000,4.44642063139173,3.45065562456867,4.54959053685169,5000,5000,5000,715,950,1195,1900,,975,1275,750,925,950,850
2016-01-31,Minnesota,18289,130000,159900,204900,318000,410000,219000,155000,184450,219900,3.38368580060423,3.33518621456365,3.39270812350724,8000,5000,8000,1130,1295,1450,1700,2075,1425,1200,,1238,1495,1080
2016-01-31,Mississippi,10740,,94900,144900,244900,293750,156100,179000,129000,155000,4.12979351032449,5.58659217877095,4.09704182710318,5100,9500,5099,595,725,925,,,902.5,,625,725,925,900
2016-01-31,Missouri,30110,69900,79900,134900,245000,319900,139900,140000,127500,139900,3.85542168674698,4.0238459726325,3.85026737967914,5000,5000,5000,675,750,925,1100,895,875,900,725,775,875,850
2016-01-31,Montana,5854,152500,204900,270000,350000,450000,289000,265750,249000,290000,3.84664706926826,,3.70370370370371,10000,,10000,625,785,1195,1300,,1050,,675,745,1100,
2016-01-31,Nebraska,4683,,117000,150000,267500,325000,160000,197162.5,134450,160000,3.1895346055757,3.84689377571255,3.15151515151515,5000,5000,5000,740,900,1195,1387.5,,,,724.5,810,1125,560
2016-01-31,Nevada,12726,,144000,212000,295000,385000,236990,124897.5,2E+05,249500,2.92275574112735,3.75046880860107,2.85714285714286,7600,5000,8855,850,950,1200,1450,1895,1250,900,,945,1295,
2016-01-31,NewHampshire,7748,99900,165000,238900,342000,319000,239900,195000,206500,249900,4.34845638937562,4.16840350145894,4.34908669179472,10000,7100,10000,892.5,1200,1575,1825,,1500,1350,1077,1120,1600,
2016-01-31,NewJersey,49336,164000,220000,324900,499900,724999,274900,240000,265000,279900,4.25531914893616,3.92156862745098,4.31778402461017,10000,10000,10000,1485,1800,2000,2450,,1850,1850,1600,1720,1850,1775
2016-01-31,NewMexico,11190,120000,149000,189900,279000,395500,2E+05,164580,205000,205000,3.51351351351351,5.16640502354788,3.46020761245674,7100,10000,7000,658,800,1150,1295,,1100,895,650,700,1125,900
2016-01-31,NewYork,67754,249999,235000,209000,324900,599999,330000,,529000,289999,4.25531914893616,4.30911365057707,4.24747067776882,10000,18750,10000,2100,2400,2799,,,3200,3041,2500,2400,,2395
2016-01-31,NorthCarolina,52944,123700,137500,179255.5,299900,479000,216999,188788,,219900,3.33333333333333,3.57270453733476,3.29469188529591,6000,5400,6000,925,930,1060,1400,1897.5,1095,850,750,992.5,1100,1200
2016-01-31,Ohio,42024,68900,79900,119000,220832.5,219900,129900,119900,79000,129900,4.20541097128664,3.86140979689367,4.24657534246575,5000,5000,5000,650,839,1000,1485,,1000,1000,650,800,1000,
2016-01-31,Oklahoma,16776,77500,72500,149900,251100,384900,164900,92250,169900,165000,3.11977715877437,3.57462305136724,3.10769230769231,5000,3000,5000,640,750,1095,1475,,1032.5,,725,775,1100,1000
2016-01-31,Oregon,13034,189000,204900,268000,369900,471249.5,288625,210000,265000,290000,3.33500092648183,3.57174750593218,3.33384268649045,10000,9970,10000,,1325,1547.5,1850,,1500,1492.5,1099.5,1350,1525,1295
2016-01-31,Pennsylvania,54612,119000,119900,149900,287188,279900,169000,191400,119900,165500,4.00320256204964,3.30003471947694,4.0294623655914,5100,5060,5100,975,1195,1300,1750,,1295,1400,995,1195,1250,1100
2016-01-31,RhodeIsland,4421,159000,199900,259000,329900,229900,259900,225000,179900,269000,4.0003200512082,3.57270453733476,4.00939802897993,10000,5100,10000,1050,1280,1657.5,2200,,1800,1500,1350,1300,2000,
2016-01-31,SouthCarolina,30780,157450,129900,189012.5,285000,349816.5,212990,159000,,223990,2.96348073945001,3.12842240015033,2.94204177699323,5100,5000,5100,,900,1200,1550,,1200,1100,997,999,1200,1200
2016-01-31,SouthDakota,2621,,154900,177700,219900,349900,189900,186500,185000,190000,3.33444481493831,,3.28012959195755,6000,,5950,715,800,1100,,,1025,,740,800,1050,
2016-01-31,Tennessee,29648,127500,115900,170000,316551,445000,179900,165000,110000,179900,3.51724137931034,2.8141894557159,3.57206655438166,5100,5000,5100,,900,1050,1350,,1100,1250,716,975,1095,1150
