User ID,Time (UTC),Survey Completion,Publisher Category,Gender,Age,Geography,Weight,Question #1 Answer 1: Genetic engineering,Question #1 Answer 2: Brain implants,Question #1 Answer 3: Synthetic materials,Question #1 Answer 4: Artificial intelligence,Question #1 Answer 5: Quantum computing,Question #1 Answer 6: Nuclear power,Question #1 Answer: None of the above,Question #2 Answer 1: New vaccine development,Question #2 Answer 2: Military drones,Question #2 Answer 3: Self-driving cars,Question #2 Answer 4: Satellite internet service,Question #2 Answer 5: Robotics,Question #2 Answer 6: Facial recognition algorithms,Question #2 Answer: None of the above,Question #3 Answer 1: Genetic engineering,Question #3 Answer 2: Brain implants,Question #3 Answer 3: Synthetic materials,Question #3 Answer 4: Artificial intelligence,Question #3 Answer 5: Quantum computing,Question #3 Answer 6: Nuclear power,Question #3 Answer: None of the above,Question #4 Answer 1: New vaccine development,Question #4 Answer 2: Military drones,Question #4 Answer 3: Self-driving cars,Question #4 Answer 4: Satellite internet service,Question #4 Answer 5: Robotics,Question #4 Answer 6: Facial recognition algorithms,Question #4 Answer: None of the above,Question #5 Answer,Question #6 Answer,Question #7 Answer,Question #8 Answer,Question #9 Answer,Question #10 Synonym Group,Question #10 Raw Response,Response Time #1 (ms),Response Time #2 (ms),Response Time #3 (ms),Response Time #4 (ms),Response Time #5 (ms),Response Time #6 (ms),Response Time #7 (ms),Response Time #8 (ms),Response Time #9 (ms),Response Time #10 (ms),Region,Q1_Score,Q2_Score,Q3_Score,Q4_Score,Q5_Score,Q6_Score,Q7_Score,Q8_Score,Q9_Score,Q10_Score,Total_Score
100502630,2020-07-24 00:00:00,Complete,Mobile App,Female,35-44,US-MIDWEST-IN,1.2743043,Genetic engineering,,,Artificial intelligence,,Nuclear power,,,,,,,,None of the above,,,,Artificial intelligence,,Nuclear power,,,Military drones,Self-driving cars,Satellite internet service,,,,4,1,3,6,3,Google tracking,Google tracking,20566,22610,16374,17410,4716,4211,5425,12813,11463,50242,MIDWEST,5.0,10.0,3.3333333333333335,5.0,5.0,10.0,6.666666666666667,8.333333333333334,6.666666666666667,0.0,59.99999999999999
1018523789,2020-07-22 15:00:00,Complete,Mobile App,Male,25-34,US-SOUTH-GA,0.5119522,Genetic engineering,,,Artificial intelligence,,,,,Military drones,,,Robotics,Facial recognition algorithms,,,,,Artificial intelligence,,,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,5,3,7,5,5,Electronic voting,Electronic voting,26721,11406,19563,7827,4735,3809,2902,8945,7539,19681,SOUTH,6.666666666666666,5.0,1.6666666666666667,10.0,3.3333333333333335,6.666666666666667,0.0,6.666666666666667,3.3333333333333335,0.0,43.33333333333333
104353406,2020-07-22 20:00:00,Complete,Mobile App,Male,18-24,US-NORTHEAST-CT,0.5036046,,,,,,,None of the above,,,,,,,None of the above,Genetic engineering,,Synthetic materials,Artificial intelligence,,,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,1,2,1,7,1,I am generally not concerned with technology. The more the better.,I am generally not concerned with technology. The more the better.,37011,17608,48014,6451,6001,11201,2525,8346,4492,32112,NORTHEAST,10.0,10.0,5.0,10.0,10.0,8.333333333333334,10.0,10.0,10.0,0.0,83.33333333333334
1061964199,2020-07-22 18:00:00,Complete,Mobile App,Male,18-24,US-SOUTH-OK,0.3924147,,,,Artificial intelligence,,,,,Military drones,,,,Facial recognition algorithms,,,,,Artificial intelligence,Quantum computing,,,,,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,4,2,5,6,1,Artificial intelligence,Artificial intelligence,53186,16522,15294,27867,9529,5352,3066,13396,5198,14073,SOUTH,8.333333333333334,6.666666666666666,3.3333333333333335,6.666666666666667,5.0,8.333333333333334,3.3333333333333335,8.333333333333334,10.0,0.0,60.00000000000001
1099605618,2020-07-23 02:00:00,Complete,Mobile App,Male,35-44,US-SOUTH-SC,0.615216,Genetic engineering,,,Artificial intelligence,,,,,,,,,,None of the above,,Brain implants,,,,,,,,,,,,None of the above,4,1,5,4,4,None,None,9500,11884,4005,7360,5540,3042,2731,5558,1949,16206,SOUTH,6.666666666666666,10.0,1.6666666666666667,0.0,5.0,10.0,3.3333333333333335,5.0,5.0,10.0,56.666666666666664
1109962879,2020-07-23 11:00:00,Complete,Mobile App,Male,25-34,US-WEST-WA,0.4639675,Genetic engineering,Brain implants,,Artificial intelligence,Quantum computing,,,,Military drones,,,Robotics,Facial recognition algorithms,,Genetic engineering,,,Artificial intelligence,Quantum computing,,,,,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,5,4,7,7,3,Advanced weaponry,Advanced weaponry,37221,38220,13607,51132,3675,2476,2772,5812,7844,35930,WEST,3.333333333333333,5.0,5.0,6.666666666666667,3.3333333333333335,5.0,0.0,10.0,6.666666666666667,0.0,44.99999999999999
1113928003,2020-07-24 13:00:00,Complete,Mobile App,Female,45-54,US-WEST-WY,1.5776405,,,,,,,None of the above,,,,,,,None of the above,,Brain implants,Synthetic materials,Artificial intelligence,,,,New vaccine development,,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,1,1,1,6,1,None,None,15654,7537,16160,8486,3242,1614,1735,22891,3575,6909,WEST,10.0,10.0,5.0,8.333333333333334,10.0,10.0,10.0,8.333333333333334,10.0,10.0,91.66666666666667
1131961028,2020-07-22 17:00:00,Complete,Mobile App,Male,25-34,US-NORTHEAST-NY,0.6570128,Genetic engineering,,,Artificial intelligence,,,,,Military drones,,,,Facial recognition algorithms,,Genetic engineering,,,Artificial intelligence,,,,,Military drones,,,,Facial recognition algorithms,,4,3,5,4,4,None,None,14797,12863,6373,6149,4722,4437,3677,8772,8410,18427,NORTHEAST,6.666666666666666,6.666666666666666,3.3333333333333335,3.3333333333333335,5.0,6.666666666666667,3.3333333333333335,5.0,5.0,10.0,55.0
1138673049,2020-07-22 17:00:00,Complete,Mobile App,Male,25-34,US-SOUTH-KY,0.5119522,,,,Artificial intelligence,,,,New vaccine development,Military drones,,,Robotics,Facial recognition algorithms,,,Brain implants,,Artificial intelligence,Quantum computing,Nuclear power,,,Military drones,Self-driving cars,,,Facial recognition algorithms,,7,7,7,4,4,Yes,Yes,16073,10430,9466,5278,4628,4886,4254,10459,2385,9023,SOUTH,8.333333333333334,3.333333333333333,6.666666666666667,5.0,0.0,0.0,0.0,5.0,5.0,0.0,33.333333333333336
1156230338,2020-07-23 02:00:00,Complete,Mobile App,Female,45-54,US-MIDWEST-NE,1.9158008,,Brain implants,,Artificial intelligence,,Nuclear power,,,,,,,Facial recognition algorithms,,Genetic engineering,Brain implants,Synthetic materials,Artificial intelligence,,Nuclear power,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,5,3,6,6,2,Bio-chemical engineering,Bio-chemical engineering,31233,26546,32330,18462,6336,2822,2733,9196,14731,26489,MIDWEST,5.0,8.333333333333334,8.333333333333334,10.0,3.3333333333333335,6.666666666666667,1.6666666666666667,8.333333333333334,8.333333333333334,0.0,60.0
