User ID,Time (UTC),Survey Completion,Publisher Category,Gender,Age,Geography,Weight,Question #1 Answer 1: Genetic engineering,Question #1 Answer 2: Brain implants,Question #1 Answer 3: Synthetic materials,Question #1 Answer 4: Artificial intelligence,Question #1 Answer 5: Quantum computing,Question #1 Answer 6: Nuclear power,Question #1 Answer: None of the above,Question #2 Answer 1: New vaccine development,Question #2 Answer 2: Military drones,Question #2 Answer 3: Self-driving cars,Question #2 Answer 4: Satellite internet service,Question #2 Answer 5: Robotics,Question #2 Answer 6: Facial recognition algorithms,Question #2 Answer: None of the above,Question #3 Answer 1: Genetic engineering,Question #3 Answer 2: Brain implants,Question #3 Answer 3: Synthetic materials,Question #3 Answer 4: Artificial intelligence,Question #3 Answer 5: Quantum computing,Question #3 Answer 6: Nuclear power,Question #3 Answer: None of the above,Question #4 Answer 1: New vaccine development,Question #4 Answer 2: Military drones,Question #4 Answer 3: Self-driving cars,Question #4 Answer 4: Satellite internet service,Question #4 Answer 5: Robotics,Question #4 Answer 6: Facial recognition algorithms,Question #4 Answer: None of the above,Question #5 Answer,Question #6 Answer,Question #7 Answer,Question #8 Answer,Question #9 Answer,Question #10 Synonym Group,Question #10 Raw Response,Response Time #1 (ms),Response Time #2 (ms),Response Time #3 (ms),Response Time #4 (ms),Response Time #5 (ms),Response Time #6 (ms),Response Time #7 (ms),Response Time #8 (ms),Response Time #9 (ms),Response Time #10 (ms),Region,State,Q1_Score,Q2_Score,Q3_Score,Q4_Score,Q5_Score,Q6_Score,Q7_Score,Q8_Score,Q9_Score,Q10_Score,Total_Score
1085914925,2020-09-30 20:00:00,Complete,Mobile App,Male,18-24,US-MIDWEST-IL,0.4272423,,Brain implants,,Artificial intelligence,,Nuclear power,,New vaccine development,Military drones,Self-driving cars,,,,,Genetic engineering,,Synthetic materials,,Quantum computing,,,,Military drones,,Satellite internet service,,Facial recognition algorithms,,6,4,2,5,4,Robotic Weapons,Robotic Weapons,10594,9919,10814,5428,3045,1646,1852,7307,4696,23255,MIDWEST,IL,5.0,5.0,5.0,5.0,8.333333333333334,5.0,1.6666666666666667,3.3333333333333335,5.0,10.0,53.333333333333336
1112043386,2020-10-01 03:00:00,Complete,Mobile App,Male,18-24,US-SOUTH-VA,0.5976997,Genetic engineering,Brain implants,,Artificial intelligence,,Nuclear power,,,Military drones,,,,Facial recognition algorithms,,Genetic engineering,Brain implants,,Artificial intelligence,Quantum computing,,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,4,2,5,5,3,Data collection,Data collection,22940,13861,38483,7354,10914,3389,2471,9154,5751,14479,SOUTH,VA,6.666666666666667,3.3333333333333335,3.333333333333333,0.0,5.0,1.6666666666666667,6.666666666666667,3.3333333333333335,3.3333333333333335,10.0,43.333333333333336
1131809702,2020-10-01 07:00:00,Complete,Mobile App,Male,18-24,US-SOUTH-NC,0.5976997,,,,,,,None of the above,,Military drones,Self-driving cars,,,,,Genetic engineering,,,Artificial intelligence,,,,,,,,,,None of the above,1,4,1,7,1,Genetic modification,Genetic modification,9181,14817,6361,7078,4769,7135,4347,8127,12144,53642,SOUTH,NC,0.0,3.3333333333333335,6.666666666666666,10.0,0.0,5.0,0.0,0.0,0.0,10.0,35.0
1164275919,2020-09-30 20:00:00,Complete,Mobile App,Male,18-24,US-SOUTH-WV,0.5976997,,Brain implants,,Artificial intelligence,,,,,Military drones,,,,Facial recognition algorithms,,Genetic engineering,,,Artificial intelligence,,Nuclear power,,,Military drones,,Satellite internet service,Robotics,Facial recognition algorithms,,5,2,7,5,5,Biological Weaponry,Biological Weaponry,14576,7071,6757,6264,5123,2380,1691,4310,2862,53407,SOUTH,WV,3.3333333333333335,3.3333333333333335,5.0,3.333333333333333,6.666666666666667,1.6666666666666667,10.0,3.3333333333333335,6.666666666666667,10.0,53.333333333333336
117399505,2020-09-30 22:00:00,Complete,Mobile App,Female,45-54,US-SOUTH-AL,1.357443,Genetic engineering,,,,,,,,,Self-driving cars,,,,,,,,,,,None of the above,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,1,2,1,3,2,Genetic engineering,Genetics engineering,28199,39788,26954,40527,9990,6219,4340,20352,22942,64149,SOUTH,AL,1.6666666666666667,1.6666666666666667,10.0,0.0,0.0,1.6666666666666667,0.0,6.666666666666667,1.6666666666666667,10.0,33.333333333333336
1211888348,2020-10-01 09:00:00,Complete,Mobile App,Male,25-34,US-SOUTH-OK,0.7904707,,,,,,Nuclear power,,,,,,,,None of the above,,Brain implants,,,,,,,,Self-driving cars,,,Facial recognition algorithms,,3,3,3,6,3,Destructive,Destructive,14993,20170,21108,15855,8388,3052,4050,8278,6444,55124,SOUTH,OK,1.6666666666666667,0.0,8.333333333333334,6.666666666666666,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.6666666666666667,3.3333333333333335,10.0,41.66666666666666
1225653636,2020-09-30 18:00:00,Complete,Mobile App,Male,35-44,US-NORTHEAST-CT,0.5106567,,,,Artificial intelligence,,Nuclear power,,New vaccine development,,,,,,,,,,,,,None of the above,,,,,,,None of the above,4,3,5,5,3,Social media,Social media,23614,19979,13100,9449,8437,5387,8220,18009,18159,37135,NORTHEAST,CT,3.3333333333333335,1.6666666666666667,10.0,10.0,5.0,3.3333333333333335,6.666666666666667,3.3333333333333335,3.3333333333333335,10.0,56.66666666666667
1235580351,2020-10-01 03:00:00,Complete,Mobile App,Male,35-44,US-MIDWEST-SD,0.7055257,Genetic engineering,Brain implants,Synthetic materials,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,,Facial recognition algorithms,,Genetic engineering,Brain implants,Synthetic materials,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,7,7,7,7,7,Satellite Internet service,Satellite Internet service,84631,28470,19588,7505,5935,3206,9003,1543,1356,17303,MIDWEST,SD,10.0,8.333333333333334,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,68.33333333333334
1239184369,2020-09-30 16:00:00,Complete,Mobile App,Female,55-64,US-NORTHEAST-VT,1.6288606,Genetic engineering,Brain implants,,Artificial intelligence,,Nuclear power,,,,,,Robotics,,,,,,,,,None of the above,,,,,,,None of the above,4,1,3,4,2,Don't know of any,Don't know of any,12594,12521,6684,6900,5813,4133,4762,8941,14676,26453,NORTHEAST,VT,6.666666666666667,1.6666666666666667,10.0,10.0,5.0,0.0,3.3333333333333335,5.0,1.6666666666666667,10.0,53.333333333333336
1250388791,2020-10-01 21:00:00,Complete,Mobile App,Male,25-34,US-MIDWEST-IA,0.5650372,,,,,,,None of the above,,Military drones,,,,Facial recognition algorithms,,Genetic engineering,Brain implants,,Artificial intelligence,Quantum computing,Nuclear power,,,,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,4,1,7,6,1,Automation,Automation,21205,9003,12544,9124,4397,3927,5496,7496,16924,30818,MIDWEST,IA,0.0,3.3333333333333335,1.666666666666666,3.333333333333333,5.0,0.0,10.0,1.6666666666666667,0.0,10.0,35.0
