User ID,Time (UTC),Survey Completion,Publisher Category,Gender,Age,Geography,Weight,Question #1 Answer 1: Genetic engineering,Question #1 Answer 2: Brain implants,Question #1 Answer 3: Synthetic materials,Question #1 Answer 4: Artificial intelligence,Question #1 Answer 5: Quantum computing,Question #1 Answer 6: Nuclear power,Question #1 Answer: None of the above,Question #2 Answer 1: New vaccine development,Question #2 Answer 2: Military drones,Question #2 Answer 3: Self-driving cars,Question #2 Answer 4: Satellite internet service,Question #2 Answer 5: Robotics,Question #2 Answer 6: Facial recognition algorithms,Question #2 Answer: None of the above,Question #3 Answer 1: Genetic engineering,Question #3 Answer 2: Brain implants,Question #3 Answer 3: Synthetic materials,Question #3 Answer 4: Artificial intelligence,Question #3 Answer 5: Quantum computing,Question #3 Answer 6: Nuclear power,Question #3 Answer: None of the above,Question #4 Answer 1: New vaccine development,Question #4 Answer 2: Military drones,Question #4 Answer 3: Self-driving cars,Question #4 Answer 4: Satellite internet service,Question #4 Answer 5: Robotics,Question #4 Answer 6: Facial recognition algorithms,Question #4 Answer: None of the above,Question #5 Answer,Question #6 Answer,Question #7 Answer,Question #8 Answer,Question #9 Answer,Question #10 Synonym Group,Question #10 Raw Response,Response Time #1 (ms),Response Time #2 (ms),Response Time #3 (ms),Response Time #4 (ms),Response Time #5 (ms),Response Time #6 (ms),Response Time #7 (ms),Response Time #8 (ms),Response Time #9 (ms),Response Time #10 (ms),Region,State,Q1_Score,Q2_Score,Q3_Score,Q4_Score,Q5_Score,Q6_Score,Q7_Score,Q8_Score,Q9_Score,Q10_Score,Total_Score
1000771079,2020-11-26 05:00:00,Complete,Mobile App,Female,35-44,US-WEST-CO,0.757829,Genetic engineering,Brain implants,,Artificial intelligence,,,,,Military drones,Self-driving cars,,,Facial recognition algorithms,,,,Synthetic materials,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,5,6,7,6,2,None that I can think of now,None that I can think of now,9739,110641,13446,9512,6841,2179,1822,7182,5075,13565,WEST,CO,5.0,5.0,3.333333333333333,1.666666666666666,6.666666666666667,8.333333333333334,10.0,1.6666666666666667,1.6666666666666667,0.0,43.33333333333333
10308488,2020-11-26 00:00:00,Complete,Mobile App,Male,55-64,US-NORTHEAST-VT,2.1614142,Genetic engineering,Brain implants,,Artificial intelligence,,,,,,Self-driving cars,,,Facial recognition algorithms,,Genetic engineering,,,Artificial intelligence,,Nuclear power,,,Military drones,Self-driving cars,Satellite internet service,Robotics,,,7,7,4,4,4,Nothing else,Nothing else,39567,45724,68123,37785,11094,21917,7574,32895,18222,113061,NORTHEAST,VT,5.0,3.3333333333333335,5.0,3.333333333333333,10.0,10.0,5.0,5.0,5.0,0.0,51.66666666666667
1031985455,2020-11-26 13:00:00,Complete,Mobile App,Female,45-54,US-NORTHEAST-VT,2.3142657,Genetic engineering,Brain implants,Synthetic materials,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,,,,,,,,,,,,,None of the above,,,,,,,None of the above,4,4,4,4,4,So many,So many,13911,8198,13971,7580,4359,2243,2322,6253,4563,8185,NORTHEAST,VT,10.0,1.6666666666666667,10.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,66.66666666666666
1075340291,2020-11-27 05:00:00,Complete,Mobile App,Male,45-54,US-SOUTH-OK,1.1002041,,Brain implants,,,,,,,,,,,Facial recognition algorithms,,Genetic engineering,Brain implants,Synthetic materials,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,6,2,7,4,5,Gene splicing,Gene splicing,342959,7894,22056,11986,3850,3428,2860,8017,6597,136001,SOUTH,OK,1.6666666666666667,1.6666666666666667,0.0,0.0,8.333333333333334,1.6666666666666667,10.0,5.0,6.666666666666667,10.0,45.0
1078025469,2020-11-26 07:00:00,Complete,Mobile App,Female,55-64,US-WEST-AK,4.7699025,,,,,,,None of the above,,Military drones,Self-driving cars,,,,,,,,,,,None of the above,,,,,,,None of the above,2,4,2,5,2,Microwaves,Microwaves,38922,14132,9535,6638,9432,4541,5087,7455,6156,50198,WEST,AK,0.0,3.3333333333333335,10.0,10.0,1.6666666666666667,5.0,1.6666666666666667,3.3333333333333335,1.6666666666666667,10.0,46.66666666666667
1089844376,2020-11-25 20:00:00,Complete,Mobile App,Male,18-24,US-SOUTH-KY,0.3413121,,,,,,Nuclear power,,,Military drones,,,,,,,Brain implants,Synthetic materials,Artificial intelligence,Quantum computing,,,New vaccine development,,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,2,1,2,5,3,I can't think of anything else,I can't think of anything else,19160,21989,156850,34356,7911,3721,4823,15416,34136,270251,SOUTH,KY,1.6666666666666667,1.6666666666666667,3.333333333333333,1.666666666666666,1.6666666666666667,0.0,1.6666666666666667,3.3333333333333335,3.3333333333333335,10.0,28.333333333333332
1093651798,2020-11-26 01:00:00,Complete,Mobile App,Female,45-54,US-NORTHEAST-NJ,2.3142657,Genetic engineering,Brain implants,Synthetic materials,,Quantum computing,,,,,Self-driving cars,Satellite internet service,,Facial recognition algorithms,,,,,Artificial intelligence,,Nuclear power,,New vaccine development,,,,,,,5,7,7,5,6,"Green new deal, solar power, wind power","Green new deal, solar power, wind power",25742,24757,40373,27817,6643,6018,2991,13735,9055,59394,NORTHEAST,NJ,6.666666666666667,5.0,6.666666666666666,8.333333333333334,6.666666666666667,10.0,10.0,3.3333333333333335,8.333333333333334,10.0,75.0
1115609998,2020-11-27 02:00:00,Complete,Mobile App,Male,55-64,US-WEST-HI,1.4846388,,,,,,,None of the above,,,,,,,None of the above,Genetic engineering,Brain implants,Synthetic materials,Artificial intelligence,Quantum computing,Nuclear power,,,,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,1,1,1,7,1,Media and corruption,Media and corruption,12250,12547,26117,13708,4429,2181,2306,8502,54158,27766,WEST,HI,0.0,0.0,0.0,3.333333333333333,0.0,0.0,0.0,0.0,0.0,10.0,13.333333333333332
1116577120,2020-11-25 19:00:00,Complete,Mobile App,Female,35-44,US-MIDWEST-MO,1.4860598,,,,,,Nuclear power,,,,,,,,None of the above,Genetic engineering,Brain implants,,Artificial intelligence,,,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,,,1,1,1,4,4,Biological warfare development,Biological warfare development,36168,11166,26381,18958,4347,2028,2155,9900,5118,64230,MIDWEST,MO,1.6666666666666667,0.0,5.0,1.666666666666666,0.0,0.0,0.0,5.0,5.0,10.0,28.333333333333332
1120347952,2020-11-27 00:00:00,Complete,Mobile App,Female,35-44,US-WEST-ID,0.757829,,,,Artificial intelligence,,,,,,Self-driving cars,,,,,,,Synthetic materials,Artificial intelligence,,,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,5,5,3,4,4,Nuclear mistles,Nuclear mistles,16921,17756,17892,8502,5571,4302,4691,11187,4673,20935,WEST,ID,1.6666666666666667,1.6666666666666667,6.666666666666666,0.0,6.666666666666667,6.666666666666667,3.3333333333333335,5.0,5.0,10.0,46.66666666666667
