User ID,Time (UTC),Survey Completion,Publisher Category,Gender,Age,Geography,Weight,Question #1 Answer 1: Genetic engineering,Question #1 Answer 2: Brain implants,Question #1 Answer 3: Synthetic materials,Question #1 Answer 4: Artificial intelligence,Question #1 Answer 5: Quantum computing,Question #1 Answer 6: Nuclear power,Question #1 Answer: None of the above,Question #2 Answer 1: New vaccine development,Question #2 Answer 2: Military drones,Question #2 Answer 3: Self-driving cars,Question #2 Answer 4: Satellite internet service,Question #2 Answer 5: Robotics,Question #2 Answer 6: Facial recognition algorithms,Question #2 Answer: None of the above,Question #3 Answer 1: Genetic engineering,Question #3 Answer 2: Brain implants,Question #3 Answer 3: Synthetic materials,Question #3 Answer 4: Artificial intelligence,Question #3 Answer 5: Quantum computing,Question #3 Answer 6: Nuclear power,Question #3 Answer: None of the above,Question #4 Answer 1: New vaccine development,Question #4 Answer 2: Military drones,Question #4 Answer 3: Self-driving cars,Question #4 Answer 4: Satellite internet service,Question #4 Answer 5: Robotics,Question #4 Answer 6: Facial recognition algorithms,Question #4 Answer: None of the above,Question #5 Answer,Question #6 Answer,Question #7 Answer,Question #8 Answer,Question #9 Answer,Question #10 Synonym Group,Question #10 Raw Response,Response Time #1 (ms),Response Time #2 (ms),Response Time #3 (ms),Response Time #4 (ms),Response Time #5 (ms),Response Time #6 (ms),Response Time #7 (ms),Response Time #8 (ms),Response Time #9 (ms),Response Time #10 (ms),Region,Q1_Score,Q2_Score,Q3_Score,Q4_Score,Q5_Score,Q6_Score,Q7_Score,Q8_Score,Q9_Score,Q10_Score,Total_Score
1000569239,2020-09-17 00:00:00,Complete,Mobile App,Male,45-54,US-MIDWEST-MN,0.8613811,,,,,,,None of the above,,,,,,,None of the above,Genetic engineering,,Synthetic materials,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,1,1,1,7,1,None,None,20538,17975,20905,14602,4491,2838,1985,14607,5788,20630,MIDWEST,10.0,10.0,8.333333333333334,10.0,10.0,10.0,10.0,10.0,10.0,10.0,98.33333333333334
1000630591,2020-09-17 04:00:00,Complete,Mobile App,Female,18-24,US-MIDWEST-IN,0.5171015,,Brain implants,,,,Nuclear power,,,,Self-driving cars,,,,,,,,,,,None of the above,,,,,,,None of the above,5,5,5,5,5,None,None,33936,7058,4459,3603,7475,2949,1553,7274,3058,24348,MIDWEST,6.666666666666666,8.333333333333334,0.0,0.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,6.666666666666667,3.3333333333333335,10.0,45.0
1049371626,2020-09-16 16:00:00,Complete,Mobile App,Male,25-34,US-NORTHEAST-NY,0.4749067,Genetic engineering,Brain implants,Synthetic materials,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,Military drones,,Satellite internet service,,Facial recognition algorithms,,,,,,,,None of the above,New vaccine development,,,,,Facial recognition algorithms,,7,4,7,3,6,Smart home technologies,Smart home technologies,14667,10018,8201,11785,4199,2877,2533,12334,4475,19398,NORTHEAST,0.0,3.333333333333333,0.0,3.3333333333333335,0.0,5.0,0.0,3.3333333333333335,1.6666666666666667,0.0,16.666666666666668
1087064443,2020-09-17 10:00:00,Complete,Mobile App,Male,25-34,US-SOUTH-TX,0.9963005,,Brain implants,,Artificial intelligence,Quantum computing,Nuclear power,,,Military drones,,,Robotics,Facial recognition algorithms,,,,Synthetic materials,Artificial intelligence,Quantum computing,,,,,Self-driving cars,Satellite internet service,Robotics,,,5,4,6,6,5,Identity theft,Identity theft,20687,11709,16764,6723,7641,4125,1878,9822,6111,94765,SOUTH,3.333333333333333,5.0,5.0,5.0,3.3333333333333335,5.0,1.6666666666666667,8.333333333333334,3.3333333333333335,0.0,40.0
1095593438,2020-09-17 13:00:00,Complete,Mobile App,Male,35-44,US-SOUTH-TX,0.988276,Genetic engineering,Brain implants,,,,,,,,Self-driving cars,,,Facial recognition algorithms,,Genetic engineering,,,Artificial intelligence,,Nuclear power,,,Military drones,,Satellite internet service,Robotics,Facial recognition algorithms,,4,5,6,5,4,Nano technology,Nano technology,19141,13172,17717,10723,7437,2931,2866,12544,6121,15729,SOUTH,6.666666666666666,6.666666666666666,5.0,6.666666666666667,5.0,3.3333333333333335,1.6666666666666667,6.666666666666667,5.0,10.0,56.666666666666664
1104231715,2020-09-17 20:00:00,Complete,Mobile App,Female,45-54,US-NORTHEAST-RI,1.5835383,,Brain implants,,,,,,,,,,,Facial recognition algorithms,,,,,,,,None of the above,,,,,,,None of the above,1,1,3,3,3,None at this time,None at this time,11297,10492,9135,5126,3523,2386,2784,7991,8640,13968,NORTHEAST,8.333333333333334,8.333333333333334,0.0,0.0,10.0,10.0,6.666666666666667,3.3333333333333335,6.666666666666667,10.0,63.333333333333336
1147750774,2020-09-17 14:00:00,Complete,Mobile App,Male,55-64,US-NORTHEAST-PA,1.0917131,Genetic engineering,,,,,,,,,,,,,None of the above,,,,,,,None of the above,,,Self-driving cars,Satellite internet service,Robotics,,,2,1,4,7,1,,,13387,11910,13562,14669,5648,2988,4734,10688,11378,54685,NORTHEAST,8.333333333333334,10.0,0.0,5.0,8.333333333333334,10.0,5.0,10.0,10.0,10.0,76.66666666666667
1202286347,2020-09-16 18:00:00,Complete,Mobile App,Male,35-44,US-MIDWEST-IL,0.471012,Genetic engineering,Brain implants,,Artificial intelligence,,,,,,Self-driving cars,,,Facial recognition algorithms,,Genetic engineering,,,Artificial intelligence,,Nuclear power,,,,Self-driving cars,,Robotics,Facial recognition algorithms,,5,5,5,6,4,Artificial intelligence,Artificial intelligence,15578,23290,23246,10397,6559,3614,2094,7728,11813,12311,MIDWEST,5.0,6.666666666666666,5.0,5.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,8.333333333333334,5.0,0.0,44.99999999999999
1263541471,2020-09-16 16:00:00,Complete,Mobile App,Male,18-24,US-SOUTH-FL,0.5902732,Genetic engineering,Brain implants,,Artificial intelligence,,,,,Military drones,,,Robotics,Facial recognition algorithms,,,,,,,Nuclear power,,,,Self-driving cars,,,,,7,4,7,5,7,Integrated systems,Integrated systems,10444,6202,4967,6272,2642,2646,1540,5337,3785,12437,SOUTH,5.0,5.0,1.6666666666666667,1.6666666666666667,0.0,5.0,0.0,6.666666666666667,0.0,0.0,25.0
1286195298,2020-09-16 17:00:00,Complete,Mobile App,Male,55-64,US-SOUTH-MD,2.2902905,Genetic engineering,Brain implants,,Artificial intelligence,,Nuclear power,,New vaccine development,Military drones,Self-driving cars,,,Facial recognition algorithms,,Genetic engineering,Brain implants,Synthetic materials,Artificial intelligence,Quantum computing,Nuclear power,,,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,5,7,5,6,7,Space Travel,Space Travel,20908,15091,16659,8758,8406,4977,3897,14395,7918,32900,SOUTH,3.333333333333333,3.333333333333333,10.0,8.333333333333334,3.3333333333333335,0.0,3.3333333333333335,8.333333333333334,0.0,0.0,40.0
