User ID,Time (UTC),Survey Completion,Publisher Category,Gender,Age,Geography,Weight,Question #1 Answer 1: Genetic engineering,Question #1 Answer 2: Brain implants,Question #1 Answer 3: Synthetic materials,Question #1 Answer 4: Artificial intelligence,Question #1 Answer 5: Quantum computing,Question #1 Answer 6: Nuclear power,Question #1 Answer: None of the above,Question #2 Answer 1: New vaccine development,Question #2 Answer 2: Military drones,Question #2 Answer 3: Self-driving cars,Question #2 Answer 4: Satellite internet service,Question #2 Answer 5: Robotics,Question #2 Answer 6: Facial recognition algorithms,Question #2 Answer: None of the above,Question #3 Answer 1: Genetic engineering,Question #3 Answer 2: Brain implants,Question #3 Answer 3: Synthetic materials,Question #3 Answer 4: Artificial intelligence,Question #3 Answer 5: Quantum computing,Question #3 Answer 6: Nuclear power,Question #3 Answer: None of the above,Question #4 Answer 1: New vaccine development,Question #4 Answer 2: Military drones,Question #4 Answer 3: Self-driving cars,Question #4 Answer 4: Satellite internet service,Question #4 Answer 5: Robotics,Question #4 Answer 6: Facial recognition algorithms,Question #4 Answer: None of the above,Question #5 Answer,Question #6 Answer,Question #7 Answer,Question #8 Answer,Question #9 Answer,Question #10 Synonym Group,Question #10 Raw Response,Response Time #1 (ms),Response Time #2 (ms),Response Time #3 (ms),Response Time #4 (ms),Response Time #5 (ms),Response Time #6 (ms),Response Time #7 (ms),Response Time #8 (ms),Response Time #9 (ms),Response Time #10 (ms),Region,Q1_Score,Q2_Score,Q3_Score,Q4_Score,Q5_Score,Q6_Score,Q7_Score,Q8_Score,Q9_Score,Q10_Score,Total_Score
1008534003,2020-09-03 12:00:00,Complete,Mobile App,Male,35-44,US-MIDWEST-NE,0.2398698,Genetic engineering,Brain implants,,,,,,New vaccine development,,,,,Facial recognition algorithms,,Genetic engineering,Brain implants,,Artificial intelligence,Quantum computing,,,New vaccine development,,Self-driving cars,,Robotics,Facial recognition algorithms,,4,3,5,5,4,None,None,57740,24788,9981,18134,6648,3973,2542,11075,10009,46607,MIDWEST,6.666666666666666,6.666666666666666,6.666666666666667,6.666666666666667,5.0,6.666666666666667,3.3333333333333335,6.666666666666667,5.0,10.0,63.333333333333336
1014711185,2020-09-03 14:00:00,Complete,Mobile App,Male,35-44,US-NORTHEAST-NY,0.2546249,,Brain implants,,Artificial intelligence,,,,,,Self-driving cars,,,,,,,,,,,None of the above,,,,,,,None of the above,4,7,2,5,5,Not really anymore,Not really anymore,35306,22061,18556,11918,10462,5083,7773,17473,21629,37381,NORTHEAST,6.666666666666666,8.333333333333334,0.0,0.0,5.0,0.0,8.333333333333334,6.666666666666667,3.3333333333333335,10.0,48.333333333333336
1015268093,2020-09-04 02:00:00,Complete,Mobile App,Female,35-44,US-SOUTH-TN,1.500195,,,,,,,None of the above,,,,,,,None of the above,Genetic engineering,Brain implants,Synthetic materials,Artificial intelligence,Quantum computing,,,New vaccine development,,Self-driving cars,,Robotics,Facial recognition algorithms,,1,1,1,6,1,None,None,8433,6835,8518,7958,3567,3269,2326,7194,5423,6499,SOUTH,10.0,10.0,8.333333333333334,6.666666666666667,10.0,10.0,10.0,8.333333333333334,10.0,10.0,93.33333333333333
1036183176,2020-09-02 16:00:00,Complete,Mobile App,Male,45-54,US-NORTHEAST-CT,0.5742973,,,,,,,None of the above,,,,,,Facial recognition algorithms,,,,,,,,None of the above,New vaccine development,,,,,,,4,2,5,7,2,Social media algorithms,Social media algorithms,20174,11864,26818,20709,15478,5768,4569,9345,9834,115794,NORTHEAST,10.0,8.333333333333334,0.0,1.6666666666666667,5.0,8.333333333333334,3.3333333333333335,10.0,8.333333333333334,0.0,55.00000000000001
1036219038,2020-09-03 02:00:00,Complete,Mobile App,Female,45-54,US-SOUTH-TN,3.3836363,,,Synthetic materials,,,Nuclear power,,New vaccine development,Military drones,Self-driving cars,,,Facial recognition algorithms,,,,,,,,None of the above,New vaccine development,,Self-driving cars,,,Facial recognition algorithms,,2,5,7,6,2,Na,Not sure,33615,20653,25492,14578,11351,8767,3052,12244,10121,58531,SOUTH,6.666666666666666,3.333333333333333,0.0,5.0,8.333333333333334,3.3333333333333335,0.0,8.333333333333334,8.333333333333334,10.0,53.333333333333336
1048097848,2020-09-03 00:00:00,Complete,Mobile App,Male,35-44,US-NORTHEAST-NJ,0.2546249,,,,,,Nuclear power,,,Military drones,Self-driving cars,,,,,Genetic engineering,Brain implants,Synthetic materials,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,4,7,1,3,1,Nuclear weapons,Nuclear weapons,87721,28190,11935,9382,8692,9036,9466,15292,13570,16445,NORTHEAST,8.333333333333334,6.666666666666666,10.0,10.0,5.0,0.0,10.0,3.3333333333333335,10.0,0.0,63.333333333333336
1078960977,2020-09-02 23:00:00,Complete,Mobile App,Male,25-34,US-WEST-UT,0.5642787,Genetic engineering,Brain implants,Synthetic materials,,,,,,,,,,Facial recognition algorithms,,,Brain implants,,Artificial intelligence,Quantum computing,,,New vaccine development,,,,,Facial recognition algorithms,,4,2,6,7,3,There isn't another. Just faical recognition man it scares me,There isn't another. Just faical recognition man it scares me,15623,24705,15744,12302,7445,3247,2799,6058,6206,33303,WEST,5.0,8.333333333333334,5.0,3.3333333333333335,5.0,8.333333333333334,1.6666666666666667,10.0,6.666666666666667,10.0,63.33333333333333
1085125280,2020-09-03 22:00:00,Complete,Mobile App,Male,35-44,US-MIDWEST-SD,0.2398698,,,,,,,None of the above,,,,,,,None of the above,,,,,,,None of the above,,,Self-driving cars,Satellite internet service,,Facial recognition algorithms,,3,3,5,5,4,Social engineering/media deep fake,Social engineering/media deep fake,5376,980,1087,19433,3871,2139,3207,27167,3312,59080,MIDWEST,10.0,10.0,0.0,5.0,6.666666666666667,6.666666666666667,3.3333333333333335,6.666666666666667,5.0,0.0,53.333333333333336
1133475434,2020-09-03 02:00:00,Complete,Mobile App,Female,35-44,US-MIDWEST-NE,0.5090948,,Brain implants,,Artificial intelligence,,,,New vaccine development,,,,,,,,,Synthetic materials,,,Nuclear power,,New vaccine development,,Self-driving cars,,,,,5,1,4,3,4,New vaccine development,New vaccine development,7153,5627,8149,3758,3366,2006,2145,5122,3856,15354,MIDWEST,6.666666666666666,8.333333333333334,3.3333333333333335,3.3333333333333335,3.3333333333333335,10.0,5.0,3.3333333333333335,5.0,0.0,48.333333333333336
1186503815,2020-09-03 17:00:00,Complete,Mobile App,Male,35-44,US-NORTHEAST-NY,0.2546249,Genetic engineering,Brain implants,Synthetic materials,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,,,Satellite internet service,,,,,Brain implants,Synthetic materials,,,Nuclear power,,,,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,1,4,4,7,3,Robotics,Robotics,16764,8150,28340,11276,4734,2032,2181,6300,5403,9318,NORTHEAST,0.0,6.666666666666666,5.0,6.666666666666667,10.0,5.0,5.0,10.0,6.666666666666667,0.0,54.99999999999999
