User ID,Time (UTC),Survey Completion,Publisher Category,Gender,Age,Geography,Weight,Question #1 Answer 1: Genetic engineering,Question #1 Answer 2: Brain implants,Question #1 Answer 3: Synthetic materials,Question #1 Answer 4: Artificial intelligence,Question #1 Answer 5: Quantum computing,Question #1 Answer 6: Nuclear power,Question #1 Answer: None of the above,Question #2 Answer 1: New vaccine development,Question #2 Answer 2: Military drones,Question #2 Answer 3: Self-driving cars,Question #2 Answer 4: Satellite internet service,Question #2 Answer 5: Robotics,Question #2 Answer 6: Facial recognition algorithms,Question #2 Answer: None of the above,Question #3 Answer 1: Genetic engineering,Question #3 Answer 2: Brain implants,Question #3 Answer 3: Synthetic materials,Question #3 Answer 4: Artificial intelligence,Question #3 Answer 5: Quantum computing,Question #3 Answer 6: Nuclear power,Question #3 Answer: None of the above,Question #4 Answer 1: New vaccine development,Question #4 Answer 2: Military drones,Question #4 Answer 3: Self-driving cars,Question #4 Answer 4: Satellite internet service,Question #4 Answer 5: Robotics,Question #4 Answer 6: Facial recognition algorithms,Question #4 Answer: None of the above,Question #5 Answer,Question #6 Answer,Question #7 Answer,Question #8 Answer,Question #9 Answer,Question #10 Synonym Group,Question #10 Raw Response,Response Time #1 (ms),Response Time #2 (ms),Response Time #3 (ms),Response Time #4 (ms),Response Time #5 (ms),Response Time #6 (ms),Response Time #7 (ms),Response Time #8 (ms),Response Time #9 (ms),Response Time #10 (ms),Region,State,Q1_Score,Q2_Score,Q3_Score,Q4_Score,Q5_Score,Q6_Score,Q7_Score,Q8_Score,Q9_Score,Q10_Score,Total_Score
1010012480,2020-08-06 16:00:00,Complete,Mobile App,Female,35-44,US-NORTHEAST-NJ,0.6657007,,Brain implants,,Artificial intelligence,,Nuclear power,,,Military drones,Self-driving cars,,Robotics,Facial recognition algorithms,,,,,,,,None of the above,,,,,,,None of the above,6,7,6,4,3,Gmo food,Gmo food,12241,9330,11114,2579,4093,2679,2100,16885,10140,13709,NORTHEAST,NJ,5.0,6.666666666666667,10.0,10.0,8.333333333333334,10.0,8.333333333333334,5.0,3.3333333333333335,10.0,76.66666666666667
1014543197,2020-08-06 04:00:00,Complete,Mobile App,Female,25-34,US-NORTHEAST-MA,0.5370664,,,,Artificial intelligence,,,,,,Self-driving cars,,,Facial recognition algorithms,,,,,,,,None of the above,,,,,,,None of the above,4,5,5,4,4,None,None,18408,14921,16477,19969,4022,2720,2375,5870,3537,7005,NORTHEAST,MA,1.6666666666666667,3.3333333333333335,10.0,10.0,5.0,6.666666666666667,6.666666666666667,5.0,5.0,0.0,53.33333333333333
1028615001,2020-08-05 20:00:00,Complete,Mobile App,Male,25-34,US-SOUTH-VA,0.613872,Genetic engineering,Brain implants,,Artificial intelligence,,,,,,,,,Facial recognition algorithms,,,,Synthetic materials,,,Nuclear power,,New vaccine development,,Self-driving cars,Satellite internet service,,,,2,1,7,5,2,Digital surveillance,Digital surveillance,7939,24971,6176,6972,6696,6877,2373,7000,18596,21663,SOUTH,VA,5.0,1.6666666666666667,6.666666666666666,5.0,1.6666666666666667,0.0,10.0,3.3333333333333335,1.6666666666666667,10.0,45.0
1033358924,2020-08-05 19:00:00,Complete,Mobile App,Male,45-54,US-MIDWEST-OH,1.3351876,,Brain implants,,Artificial intelligence,,Nuclear power,,,,,,,,None of the above,Genetic engineering,Brain implants,,Artificial intelligence,,Nuclear power,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,5,3,4,5,4,Mechanical engineering,Mechanical engineering,17311,14183,16074,7204,9442,5062,3105,15651,7400,21644,MIDWEST,OH,5.0,0.0,3.333333333333333,0.0,6.666666666666667,3.3333333333333335,5.0,3.3333333333333335,5.0,10.0,41.666666666666664
1033883907,2020-08-05 16:00:00,Complete,Mobile App,Female,18-24,US-SOUTH-AR,0.8380156,,Brain implants,,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,Military drones,Self-driving cars,,Robotics,,,Genetic engineering,,,Artificial intelligence,,Nuclear power,,New vaccine development,,Self-driving cars,,Robotics,Facial recognition algorithms,,5,7,6,4,7,Implants in your arm that has all of your information for them to scan.,Implants in your arm that has all of your information for them to scan.,13704,17217,10729,9015,5936,2219,3585,11840,7219,28149,SOUTH,AR,6.666666666666667,6.666666666666667,5.0,3.333333333333333,6.666666666666667,10.0,8.333333333333334,5.0,10.0,10.0,71.66666666666667
1047718908,2020-08-05 21:00:00,Complete,Mobile App,Male,35-44,US-SOUTH-VA,0.7609022,,,,,,Nuclear power,,,Military drones,,,,,,Genetic engineering,Brain implants,Synthetic materials,Artificial intelligence,,Nuclear power,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,1,1,1,6,2,Surveillance cameras,Surveillance cameras,53980,22327,30118,11638,13266,5391,4506,22094,19118,86561,SOUTH,VA,1.6666666666666667,1.6666666666666667,1.666666666666666,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,10.0,18.333333333333336
1054966248,2020-08-06 06:00:00,Complete,Mobile App,Male,18-24,US-WEST-CA,0.7763909,Genetic engineering,Brain implants,,Artificial intelligence,,Nuclear power,,,Military drones,,,Robotics,Facial recognition algorithms,,,,,Artificial intelligence,,,,New vaccine development,Military drones,Self-driving cars,,Robotics,Facial recognition algorithms,,4,2,7,6,3,Social media,Social media,13383,17478,10531,11957,4426,2042,1925,5366,5673,12324,WEST,CA,6.666666666666667,5.0,8.333333333333334,1.666666666666666,5.0,1.6666666666666667,10.0,1.6666666666666667,3.3333333333333335,10.0,53.33333333333333
1064896675,2020-08-05 22:00:00,Complete,Mobile App,Female,55-64,US-MIDWEST-WI,2.4025988,Genetic engineering,,,,,Nuclear power,,,,,,,,None of the above,,,,,,,None of the above,New vaccine development,,,,,,,2,2,2,6,2,None,None,12219,14660,17655,8367,8226,2943,673636,8731,13607,19992,MIDWEST,WI,3.3333333333333335,0.0,10.0,8.333333333333334,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,30.000000000000007
1072466933,2020-08-06 05:00:00,Complete,Mobile App,Male,35-44,US-SOUTH-TX,0.7609022,,,,,,,None of the above,,,,,,,None of the above,Genetic engineering,,,Artificial intelligence,,,,,,,,,Facial recognition algorithms,,1,1,1,6,2,None,None,11476,5059,10927,8810,4361,3884,4190,11797,10823,7775,SOUTH,TX,0.0,0.0,6.666666666666666,8.333333333333334,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,18.333333333333336
1088093300,2020-08-06 00:00:00,Complete,Mobile App,Female,25-34,US-SOUTH-TX,0.6513279,,,,,,,None of the above,,,,,,,None of the above,,,,,,,None of the above,,,,,,,None of the above,2,2,2,4,4,None,None,11696,8188,4936,2179,5467,4431,62174,22457,5876,9198,SOUTH,TX,0.0,0.0,10.0,10.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,5.0,5.0,0.0,35.0
