User ID,Time (UTC),Survey Completion,Publisher Category,Gender,Age,Geography,Weight,Question #1 Answer 1: Genetic engineering,Question #1 Answer 2: Brain implants,Question #1 Answer 3: Synthetic materials,Question #1 Answer 4: Artificial intelligence,Question #1 Answer 5: Quantum computing,Question #1 Answer 6: Nuclear power,Question #1 Answer: None of the above,Question #2 Answer 1: New vaccine development,Question #2 Answer 2: Military drones,Question #2 Answer 3: Self-driving cars,Question #2 Answer 4: Satellite internet service,Question #2 Answer 5: Robotics,Question #2 Answer 6: Facial recognition algorithms,Question #2 Answer: None of the above,Question #3 Answer 1: Genetic engineering,Question #3 Answer 2: Brain implants,Question #3 Answer 3: Synthetic materials,Question #3 Answer 4: Artificial intelligence,Question #3 Answer 5: Quantum computing,Question #3 Answer 6: Nuclear power,Question #3 Answer: None of the above,Question #4 Answer 1: New vaccine development,Question #4 Answer 2: Military drones,Question #4 Answer 3: Self-driving cars,Question #4 Answer 4: Satellite internet service,Question #4 Answer 5: Robotics,Question #4 Answer 6: Facial recognition algorithms,Question #4 Answer: None of the above,Question #5 Answer,Question #6 Answer,Question #7 Answer,Question #8 Answer,Question #9 Answer,Question #10 Synonym Group,Question #10 Raw Response,Response Time #1 (ms),Response Time #2 (ms),Response Time #3 (ms),Response Time #4 (ms),Response Time #5 (ms),Response Time #6 (ms),Response Time #7 (ms),Response Time #8 (ms),Response Time #9 (ms),Response Time #10 (ms),Region,State,Q1_Score,Q2_Score,Q3_Score,Q4_Score,Q5_Score,Q6_Score,Q7_Score,Q8_Score,Q9_Score,Q10_Score,Total_Score
1008913824,2020-10-28 17:00:00,Complete,Mobile App,Male,55-64,US-MIDWEST-MI,1.5602671,,,,,,Nuclear power,,,Military drones,,,,Facial recognition algorithms,,Genetic engineering,Brain implants,Synthetic materials,Artificial intelligence,,Nuclear power,,,Military drones,Self-driving cars,,Robotics,Facial recognition algorithms,,1,1,7,4,2,Email survalence/lack of protection,Email survalence/lack of protection,42092,21983,41953,17705,10755,5821,6394,20170,22582,275057,MIDWEST,MI,1.6666666666666667,3.3333333333333335,1.666666666666666,3.333333333333333,0.0,0.0,10.0,5.0,1.6666666666666667,10.0,36.66666666666667
1036362647,2020-10-31 00:00:00,Complete,Mobile App,Male,35-44,US-NORTHEAST-RI,1.0838315,,,,,,Nuclear power,,,,Self-driving cars,,,,,,,,,,Nuclear power,,,,,,,Facial recognition algorithms,,5,5,5,4,4,None,None,8803,8650,2862,5754,3391,1484,1151,1933,1213,6449,NORTHEAST,RI,1.6666666666666667,1.6666666666666667,8.333333333333334,8.333333333333334,6.666666666666667,6.666666666666667,6.666666666666667,5.0,5.0,0.0,50.0
1057900061,2020-10-31 00:00:00,Complete,Mobile App,Female,18-24,US-WEST-AZ,0.7184128,Genetic engineering,Brain implants,,Artificial intelligence,,,,,,Self-driving cars,,,Facial recognition algorithms,,Genetic engineering,,,Artificial intelligence,,,,New vaccine development,,Self-driving cars,,Robotics,Facial recognition algorithms,,7,5,7,5,5,N/a,Na,12184,10848,12569,10004,4953,6691,2928,12088,7831,11442,WEST,AZ,5.0,3.3333333333333335,6.666666666666666,3.333333333333333,10.0,6.666666666666667,10.0,3.3333333333333335,6.666666666666667,10.0,65.0
1074685856,2020-10-30 15:00:00,Complete,Mobile App,Male,35-44,US-SOUTH-TX,0.4673282,Genetic engineering,,,Artificial intelligence,,,,,,,,,Facial recognition algorithms,,,,Synthetic materials,Artificial intelligence,Quantum computing,Nuclear power,,,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,4,2,5,5,3,Middle of video advertising,Middle of video advertising,18846,14434,14920,13696,8105,4864,3658,8820,12464,35693,SOUTH,TX,3.3333333333333335,1.6666666666666667,3.333333333333333,1.666666666666666,5.0,1.6666666666666667,6.666666666666667,3.3333333333333335,3.3333333333333335,10.0,40.0
1106939532,2020-10-31 00:00:00,Complete,Mobile App,Female,25-34,US-SOUTH-LA,1.0214664,,Brain implants,,Artificial intelligence,,,,New vaccine development,,,,,,,,,,Artificial intelligence,,Nuclear power,,New vaccine development,,,,,,,7,1,3,4,4,Nuclear power,Nuclear power,108608,117151,18836,4927,3128,5727,36352,8809,3558,153112,SOUTH,LA,3.3333333333333335,1.6666666666666667,6.666666666666666,8.333333333333334,10.0,0.0,3.3333333333333335,5.0,5.0,10.0,53.333333333333336
1115985442,2020-10-28 16:00:00,Complete,Mobile App,Female,18-24,US-MIDWEST-ND,0.4423316,,,,,,Nuclear power,,,Military drones,Self-driving cars,,,,,Genetic engineering,,,Artificial intelligence,,,,New vaccine development,,Self-driving cars,,Robotics,,,3,5,3,5,4,Machine learning AI,Machine learning AI,29961,28581,27166,51796,5503,4194,3913,7989,7224,41322,MIDWEST,ND,1.6666666666666667,3.3333333333333335,6.666666666666666,5.0,3.3333333333333335,6.666666666666667,3.3333333333333335,3.3333333333333335,5.0,10.0,48.33333333333333
1153489340,2020-10-28 22:00:00,Complete,Mobile App,Male,35-44,US-MIDWEST-MN,0.2039083,Genetic engineering,Brain implants,,Artificial intelligence,,,,,,Self-driving cars,,,,,Genetic engineering,,,Artificial intelligence,,Nuclear power,,New vaccine development,Military drones,Self-driving cars,,Robotics,Facial recognition algorithms,,5,6,4,4,5,Social media,Social media,12979,9874,9651,12004,5368,2295,2924,8685,6291,16463,MIDWEST,MN,5.0,1.6666666666666667,5.0,1.666666666666666,6.666666666666667,8.333333333333334,5.0,5.0,6.666666666666667,10.0,55.0
1232192894,2020-10-29 18:00:00,Complete,Mobile App,Male,35-44,US-NORTHEAST-NY,1.0838315,,Brain implants,,,,Nuclear power,,,Military drones,,,,Facial recognition algorithms,,Genetic engineering,,,Artificial intelligence,Quantum computing,,,New vaccine development,,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,3,2,5,5,3,N/a,N/a,13807,11939,7776,9299,4884,2315,2482,8394,4683,17517,NORTHEAST,NY,3.3333333333333335,3.3333333333333335,5.0,1.666666666666666,3.3333333333333335,1.6666666666666667,6.666666666666667,3.3333333333333335,3.3333333333333335,10.0,41.66666666666667
1234540470,2020-10-30 18:00:00,Complete,Mobile App,Male,18-24,US-MIDWEST-WI,0.1918009,Genetic engineering,Brain implants,Synthetic materials,,,,,,Military drones,,,,Facial recognition algorithms,,Genetic engineering,Brain implants,Synthetic materials,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,1,1,6,7,1,Targeted Marketing,Targeted Marketing,17211,11240,13941,7698,10603,2715,4376,10252,5501,45990,MIDWEST,WI,5.0,3.3333333333333335,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,10.0,26.666666666666668
1234667354,2020-10-28 20:00:00,Complete,Mobile App,Female,25-34,US-SOUTH-VA,1.0214664,,,,,,,None of the above,,,,,,,None of the above,Genetic engineering,,,Artificial intelligence,,,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,1,1,1,7,1,Human microchips,Human microchips,16351,11082,20294,7371,4844,1987,1993,8730,3943,28288,SOUTH,VA,0.0,0.0,6.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.666666666666664
1235717713,2020-10-31 00:00:00,Complete,Mobile App,Male,35-44,US-WEST-WY,0.3311777,,,,Artificial intelligence,,,,,,,,Robotics,Facial recognition algorithms,,,,,,,,None of the above,,,,Satellite internet service,,,,2,1,3,5,4,Information collection via personal device and electronic tracking,Information collection via personal device and electronic tracking,48742,24452,11034,13161,13125,6913,4220,13787,8489,123854,WEST,WY,1.6666666666666667,3.3333333333333335,10.0,8.333333333333334,1.6666666666666667,0.0,3.3333333333333335,3.3333333333333335,5.0,10.0,46.66666666666667
1273805226,2020-10-29 15:00:00,Complete,Mobile App,Male,25-34,US-SOUTH-KY,0.4429215,,,,Artificial intelligence,Quantum computing,Nuclear power,,,Military drones,,,Robotics,Facial recognition algorithms,,Genetic engineering,,Synthetic materials,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,Military drones,Self-driving cars,,Robotics,Facial recognition algorithms,,6,2,6,5,3,Cloning,Cloning,10761,8659,14624,10267,3201,3575,2326,6871,5190,10841,SOUTH,KY,5.0,5.0,1.666666666666666,1.666666666666666,8.333333333333334,1.6666666666666667,8.333333333333334,3.3333333333333335,3.3333333333333335,10.0,48.333333333333336
1277118008,2020-10-28 16:00:00,Complete,Mobile App,Male,35-44,US-WEST-WY,0.3311777,,Brain implants,,Artificial intelligence,,,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,Genetic engineering,Brain implants,,Artificial intelligence,Quantum computing,,,,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,7,5,6,5,5,Nano machines,Nano machines,14740,11297,12880,11031,4428,3637,2376,8568,7053,32441,WEST,WY,3.3333333333333335,10.0,3.333333333333333,1.666666666666666,10.0,6.666666666666667,8.333333333333334,3.3333333333333335,6.666666666666667,0.0,53.333333333333336
1294778431,2020-10-29 01:00:00,Complete,Mobile App,Male,25-34,US-SOUTH-KY,0.4429215,Genetic engineering,Brain implants,,Artificial intelligence,,,,New vaccine development,,,,,Facial recognition algorithms,,,,,,,,None of the above,,,,,,,None of the above,3,2,5,5,4,No,No,19064,12240,5048,2391,7944,3515,4214,10205,7705,3782,SOUTH,KY,5.0,3.3333333333333335,10.0,10.0,3.3333333333333335,1.6666666666666667,6.666666666666667,3.3333333333333335,5.0,0.0,48.333333333333336
1320063664,2020-10-30 23:00:00,Complete,Mobile App,Male,45-54,US-SOUTH-VA,2.1223814,,,,,,,None of the above,,Military drones,Self-driving cars,,,,,,,,,,,None of the above,,Military drones,Self-driving cars,Satellite internet service,,,,1,5,1,4,4,None,None,83815,15185,74454,23967,4999,4542,2949,10396,11082,23632,SOUTH,VA,0.0,3.3333333333333335,10.0,5.0,0.0,6.666666666666667,0.0,5.0,5.0,0.0,35.0
1342985068,2020-10-29 08:00:00,Complete,Mobile App,Male,25-34,US-NORTHEAST-NY,1.0272273,,Brain implants,,Artificial intelligence,,,,,,Self-driving cars,,,,,Genetic engineering,,Synthetic materials,,Quantum computing,Nuclear power,,New vaccine development,,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,4,6,7,5,5,Green,Green,49744,13157,12272,12794,9741,5621,2719,8805,6207,13204,NORTHEAST,NY,3.3333333333333335,1.6666666666666667,3.333333333333333,1.666666666666666,5.0,8.333333333333334,10.0,3.3333333333333335,6.666666666666667,10.0,53.33333333333333
1343890499,2020-10-28 20:00:00,Complete,Mobile App,Male,18-24,US-SOUTH-OK,0.4395798,Genetic engineering,Brain implants,Synthetic materials,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,,,,,,,None of the above,,,,,,,None of the above,7,7,7,4,4,Phones,Phones,39047,22179,8297,1193,5193,1658,1219,33738,2589,14150,SOUTH,OK,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,10.0,90.0
1361896304,2020-10-30 23:00:00,Complete,Mobile App,Male,18-24,US-SOUTH-AR,0.4395798,,Brain implants,,Artificial intelligence,Quantum computing,Nuclear power,,,Military drones,,,Robotics,Facial recognition algorithms,,,,,,,,None of the above,,,,,,,None of the above,7,7,6,5,3,Robots that resemble a human,Robots that resemble a human,112178,37193,9990,16798,55992,2178,1594,6104,6392,20397,SOUTH,AR,6.666666666666667,5.0,10.0,10.0,10.0,10.0,8.333333333333334,3.3333333333333335,3.3333333333333335,10.0,76.66666666666667
1371522300,2020-10-31 00:00:00,Complete,Mobile App,Female,35-44,US-NORTHEAST-NY,2.4995339,,Brain implants,,Artificial intelligence,,,,,Military drones,,,Robotics,,,,Brain implants,,Artificial intelligence,,,,,,,,,,None of the above,4,3,4,7,3,Im not sure,Im not sure,70015,9664,134663,5581,3067,1808,1912,6535,5918,10029,NORTHEAST,NY,3.3333333333333335,3.3333333333333335,6.666666666666666,10.0,5.0,3.3333333333333335,5.0,0.0,3.3333333333333335,10.0,50.0
1378152767,2020-10-29 10:00:00,Complete,Mobile App,Female,25-34,US-WEST-CO,0.7238742,,,,,,,None of the above,,,,,,,None of the above,,,,,,,None of the above,,,,,,,None of the above,4,4,4,4,4,None if the above,None if the above,22056,10421,3568,4209,9299,1045,1066,1328,1653,14319,WEST,CO,0.0,0.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,0.0,45.0
1379517500,2020-10-28 16:00:00,Complete,Mobile App,Female,18-24,US-SOUTH-MD,1.0137597,,Brain implants,Synthetic materials,Artificial intelligence,,Nuclear power,,New vaccine development,,,Satellite internet service,,Facial recognition algorithms,,Genetic engineering,,Synthetic materials,Artificial intelligence,,Nuclear power,,,,,,,,None of the above,2,7,4,7,1,nothing much,nothing much,34621,8387,6847,7069,5552,2761,3405,5847,4034,7031,SOUTH,MD,6.666666666666667,5.0,3.333333333333333,10.0,1.6666666666666667,10.0,5.0,0.0,0.0,10.0,51.66666666666667
1385535664,2020-10-29 09:00:00,Complete,Mobile App,Male,18-24,US-MIDWEST-ND,0.1918009,Genetic engineering,,,Artificial intelligence,,,,,Military drones,Self-driving cars,,,,,,,,Artificial intelligence,,Nuclear power,,,Military drones,Self-driving cars,,Robotics,,,6,5,4,6,2,Camera Tech/ Survaliance,Camera Tech/ Survaliance,19636,12875,14310,16404,5735,3357,4024,10122,9819,48892,MIDWEST,ND,3.3333333333333335,3.3333333333333335,6.666666666666666,5.0,8.333333333333334,6.666666666666667,5.0,1.6666666666666667,1.6666666666666667,10.0,51.66666666666666
1436840010,2020-10-30 23:00:00,Complete,Mobile App,Male,55-64,US-SOUTH-FL,3.5759049,Genetic engineering,,,,,,,New vaccine development,,,,,,,Genetic engineering,,,Artificial intelligence,,Nuclear power,,New vaccine development,Military drones,,Satellite internet service,Robotics,,,1,5,1,6,3,None,None,22314,11007,30537,15780,6898,15084,3487,11384,16578,31689,SOUTH,FL,1.6666666666666667,1.6666666666666667,5.0,3.333333333333333,0.0,6.666666666666667,0.0,1.6666666666666667,3.3333333333333335,0.0,23.333333333333336
1466591406,2020-10-31 00:00:00,Complete,Mobile App,Female,35-44,US-SOUTH-AL,1.0777531,Genetic engineering,,,Artificial intelligence,,Nuclear power,,New vaccine development,Military drones,,,,Facial recognition algorithms,,Genetic engineering,,,,,Nuclear power,,New vaccine development,,,,,Facial recognition algorithms,,6,1,6,4,4,5g,5g,45004,21695,21795,11466,6497,5007,3157,25455,11239,19730,SOUTH,AL,5.0,5.0,6.666666666666666,6.666666666666666,8.333333333333334,0.0,8.333333333333334,5.0,5.0,10.0,60.0
1489844364,2020-10-28 22:00:00,Complete,Mobile App,Male,18-24,US-MIDWEST-MN,0.1918009,Genetic engineering,Brain implants,,,,,,,Military drones,,,,Facial recognition algorithms,,Genetic engineering,,,Artificial intelligence,Quantum computing,,,,,Self-driving cars,,,Facial recognition algorithms,,2,3,3,4,3,Advanced consumer weapons,Advanced consumer weapons,19679,16090,17080,7148,6372,4962,11500,8415,11492,134889,MIDWEST,MN,3.3333333333333335,3.3333333333333335,5.0,6.666666666666666,1.6666666666666667,3.3333333333333335,3.3333333333333335,5.0,3.3333333333333335,10.0,45.0
1516936659,2020-10-31 00:00:00,Complete,Mobile App,Female,18-24,US-WEST-NV,0.7184128,,Brain implants,,,,,,,Military drones,Self-driving cars,,,,,,,,,,,None of the above,,,,,Robotics,,,3,4,2,5,4,Self driving drones,Self driving drones,16402,13806,7482,5051,11190,2898,2564,31375,13264,24903,WEST,NV,1.6666666666666667,3.3333333333333335,10.0,8.333333333333334,3.3333333333333335,5.0,1.6666666666666667,3.3333333333333335,5.0,10.0,51.66666666666667
1544979899,2020-10-30 23:00:00,Complete,Mobile App,Male,25-34,US-SOUTH-KY,0.4429215,,,,,,,None of the above,,Military drones,Self-driving cars,,,Facial recognition algorithms,,Genetic engineering,Brain implants,Synthetic materials,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,4,6,7,5,2,"I'm a developer, the only thing that scares me is bugs.","I'm a developer, the only thing that scares me is bugs.",15780,27407,9980,6860,12647,4598,5218,10817,20528,45403,SOUTH,KY,0.0,5.0,0.0,0.0,5.0,8.333333333333334,10.0,3.3333333333333335,1.6666666666666667,10.0,43.333333333333336
