User ID,Time (UTC),Survey Completion,Publisher Category,Gender,Age,Geography,Weight,Question #1 Answer 1: Genetic engineering,Question #1 Answer 2: Brain implants,Question #1 Answer 3: Synthetic materials,Question #1 Answer 4: Artificial intelligence,Question #1 Answer 5: Quantum computing,Question #1 Answer 6: Nuclear power,Question #1 Answer: None of the above,Question #2 Answer 1: New vaccine development,Question #2 Answer 2: Military drones,Question #2 Answer 3: Self-driving cars,Question #2 Answer 4: Satellite internet service,Question #2 Answer 5: Robotics,Question #2 Answer 6: Facial recognition algorithms,Question #2 Answer: None of the above,Question #3 Answer 1: Genetic engineering,Question #3 Answer 2: Brain implants,Question #3 Answer 3: Synthetic materials,Question #3 Answer 4: Artificial intelligence,Question #3 Answer 5: Quantum computing,Question #3 Answer 6: Nuclear power,Question #3 Answer: None of the above,Question #4 Answer 1: New vaccine development,Question #4 Answer 2: Military drones,Question #4 Answer 3: Self-driving cars,Question #4 Answer 4: Satellite internet service,Question #4 Answer 5: Robotics,Question #4 Answer 6: Facial recognition algorithms,Question #4 Answer: None of the above,Question #5 Answer,Question #6 Answer,Question #7 Answer,Question #8 Answer,Question #9 Answer,Question #10 Synonym Group,Question #10 Raw Response,Response Time #1 (ms),Response Time #2 (ms),Response Time #3 (ms),Response Time #4 (ms),Response Time #5 (ms),Response Time #6 (ms),Response Time #7 (ms),Response Time #8 (ms),Response Time #9 (ms),Response Time #10 (ms),Region,State,Q1_Score,Q2_Score,Q3_Score,Q4_Score,Q5_Score,Q6_Score,Q7_Score,Q8_Score,Q9_Score,Q10_Score,Total_Score
101768375,2020-08-20 02:00:00,Complete,Mobile App,Male,35-44,US-WEST-MT,0.6386421,Genetic engineering,,,Artificial intelligence,,Nuclear power,,,Military drones,,,,Facial recognition algorithms,,Genetic engineering,,Synthetic materials,Artificial intelligence,,Nuclear power,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,6,4,5,5,5,Chip implants,Chip implants,20296,15135,11156,23261,17482,6415,7616,15287,9582,39847,WEST,MT,5.0,3.3333333333333335,3.333333333333333,0.0,8.333333333333334,5.0,6.666666666666667,3.3333333333333335,6.666666666666667,10.0,51.666666666666664
1035280395,2020-08-20 07:00:00,Complete,Mobile App,Male,35-44,US-NORTHEAST-CT,0.4877367,,,,,,,None of the above,,,,,,,None of the above,,,,,,,None of the above,,,Self-driving cars,Satellite internet service,,,,4,4,4,6,3,,,25785,54816,7430,13328,13812,2704,964,7008,6173,7781,NORTHEAST,CT,0.0,0.0,10.0,6.666666666666666,5.0,5.0,5.0,1.6666666666666667,3.3333333333333335,0.0,36.666666666666664
1041841304,2020-08-19 19:00:00,Complete,Mobile App,Male,25-34,US-NORTHEAST-NJ,0.5084801,,Brain implants,,Artificial intelligence,,Nuclear power,,,Military drones,,,,,,,,,,,,None of the above,New vaccine development,,Self-driving cars,Satellite internet service,Robotics,,,4,1,2,7,1,Bitcoin,Bitcoin,50685,1069518,22048,12665,8737,3697,5384,18252,6396,17569,NORTHEAST,NJ,5.0,1.6666666666666667,10.0,3.333333333333333,5.0,0.0,1.6666666666666667,0.0,0.0,10.0,36.66666666666667
1049687959,2020-08-20 13:00:00,Complete,Mobile App,Female,45-54,US-MIDWEST-WI,1.1870863,Genetic engineering,,Synthetic materials,Artificial intelligence,,,,,,Self-driving cars,,,,,Genetic engineering,,,Artificial intelligence,,Nuclear power,,New vaccine development,Military drones,,,,Facial recognition algorithms,,4,5,1,7,1,Privatized space travel,Privatized space travel,15127,7977,18404,8549,12906,169209,2852,6617,6846,26704,MIDWEST,WI,5.0,1.6666666666666667,5.0,5.0,5.0,6.666666666666667,0.0,0.0,0.0,10.0,38.333333333333336
1066986494,2020-08-20 15:00:00,Complete,Mobile App,Male,65+,US-SOUTH-TX,2.0480643,Genetic engineering,,,,,,,,,,,,,None of the above,,,,Artificial intelligence,Quantum computing,,,,,Self-driving cars,Satellite internet service,Robotics,,,2,1,2,3,1,Invasion of privacy,Invasion of privacy,11769,12430,14767,11425,9209,6055,4867,8009,10255,74270,SOUTH,TX,1.6666666666666667,0.0,6.666666666666666,5.0,1.6666666666666667,0.0,1.6666666666666667,6.666666666666667,0.0,10.0,33.33333333333333
1084388757,2020-08-20 01:00:00,Complete,Mobile App,Male,65+,US-SOUTH-FL,2.0480643,,Brain implants,,,,,,,,,,,,None of the above,,,,,,,None of the above,,,,,,,None of the above,4,4,4,5,4,,,34277,17255,9076,28583,6449,4064,3913,8875,12663,31336,SOUTH,FL,1.6666666666666667,0.0,10.0,10.0,5.0,5.0,5.0,3.3333333333333335,5.0,0.0,45.0
1108594361,2020-08-20 09:00:00,Complete,Mobile App,Female,45-54,US-WEST-AZ,1.6839811,,,,,,,None of the above,,,,,,,None of the above,,,,,,,None of the above,,,,,,,None of the above,1,1,3,4,3,Chip implants,Chip implants,46125,14051,6125,4385,16350,3235,5266,13166,10024,13373,WEST,AZ,0.0,0.0,10.0,10.0,0.0,0.0,3.3333333333333335,5.0,3.3333333333333335,10.0,41.666666666666664
1172461875,2020-08-20 22:00:00,Complete,Mobile App,Male,35-44,US-SOUTH-KY,0.7750838,,,,,,,None of the above,New vaccine development,,Self-driving cars,,Robotics,,,,,,Artificial intelligence,,,,,,Self-driving cars,Satellite internet service,Robotics,,,3,4,7,4,6,None,None,19359,8512,7289,7121,4539,2960,2694,5678,4941,7174,SOUTH,KY,0.0,5.0,8.333333333333334,5.0,3.3333333333333335,5.0,10.0,5.0,8.333333333333334,0.0,50.00000000000001
1220639256,2020-08-19 19:00:00,Complete,Mobile App,Female,18-24,US-SOUTH-FL,1.2169806,,,,,,,None of the above,,Military drones,,,,,,Genetic engineering,,,Artificial intelligence,,,,,,Self-driving cars,,Robotics,Facial recognition algorithms,,4,3,5,5,3,Nuclear weapons,Nuclear weapons,3844,19802,34603,11309,21762,2188,2110,23273,6910,58529,SOUTH,FL,0.0,1.6666666666666667,6.666666666666666,5.0,5.0,3.3333333333333335,6.666666666666667,3.3333333333333335,3.3333333333333335,10.0,45.0
1238765910,2020-08-19 18:00:00,Complete,Mobile App,Female,25-34,US-SOUTH-MD,0.8371508,,,,,,,None of the above,,,,,,,None of the above,Genetic engineering,,,,,,,,,,,,,None of the above,1,2,3,5,4,Weapons technology,Weapons technology,9471,8227,33168,18504,2701,5168,4397,11506,23382,40544,SOUTH,MD,0.0,0.0,8.333333333333334,10.0,0.0,1.6666666666666667,3.3333333333333335,3.3333333333333335,5.0,10.0,41.66666666666667
