User ID,Time (UTC),Survey Completion,Publisher Category,Gender,Age,Geography,Weight,Question #1 Answer 1: Genetic engineering,Question #1 Answer 2: Brain implants,Question #1 Answer 3: Synthetic materials,Question #1 Answer 4: Artificial intelligence,Question #1 Answer 5: Quantum computing,Question #1 Answer 6: Nuclear power,Question #1 Answer: None of the above,Question #2 Answer 1: New vaccine development,Question #2 Answer 2: Military drones,Question #2 Answer 3: Self-driving cars,Question #2 Answer 4: Satellite internet service,Question #2 Answer 5: Robotics,Question #2 Answer 6: Facial recognition algorithms,Question #2 Answer: None of the above,Question #3 Answer 1: Genetic engineering,Question #3 Answer 2: Brain implants,Question #3 Answer 3: Synthetic materials,Question #3 Answer 4: Artificial intelligence,Question #3 Answer 5: Quantum computing,Question #3 Answer 6: Nuclear power,Question #3 Answer: None of the above,Question #4 Answer 1: New vaccine development,Question #4 Answer 2: Military drones,Question #4 Answer 3: Self-driving cars,Question #4 Answer 4: Satellite internet service,Question #4 Answer 5: Robotics,Question #4 Answer 6: Facial recognition algorithms,Question #4 Answer: None of the above,Question #5 Answer,Question #6 Answer,Question #7 Answer,Question #8 Answer,Question #9 Answer,Question #10 Synonym Group,Question #10 Raw Response,Response Time #1 (ms),Response Time #2 (ms),Response Time #3 (ms),Response Time #4 (ms),Response Time #5 (ms),Response Time #6 (ms),Response Time #7 (ms),Response Time #8 (ms),Response Time #9 (ms),Response Time #10 (ms),Region,State,Q1_Score,Q2_Score,Q3_Score,Q4_Score,Q5_Score,Q6_Score,Q7_Score,Q8_Score,Q9_Score,Q10_Score,Total_Score
1013740132,2020-12-10 02:00:00,Complete,Mobile App,Female,65+,US-NORTHEAST-NJ,1.5527128,,,,,,,None of the above,,,,,,,None of the above,,,,,,,None of the above,,,,,,,None of the above,2,2,2,3,3,,Not sure,41005,24907,30290,11534,21477,4953,6369,43295,18710,30058,NORTHEAST,NJ,0.0,0.0,10.0,10.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,6.666666666666667,3.3333333333333335,0.0,35.00000000000001
1036251035,2020-12-10 04:00:00,Complete,Mobile App,Female,25-34,US-MIDWEST-IA,0.9194009,Genetic engineering,Brain implants,,,,,,,,,,,Facial recognition algorithms,,,,,Artificial intelligence,,,,,,,,,,None of the above,6,5,7,7,5,Social media tracking algorithms,Social media tracking algorithms,20819,15375,13755,11947,4681,3047,3038,9381,9258,36230,MIDWEST,IA,3.3333333333333335,1.6666666666666667,8.333333333333334,10.0,8.333333333333334,6.666666666666667,10.0,0.0,6.666666666666667,10.0,65.0
1043418538,2020-12-09 20:00:00,Complete,Mobile App,Female,18-24,US-WEST-HI,1.159506,,Brain implants,,Artificial intelligence,,Nuclear power,,,Military drones,,,,Facial recognition algorithms,,,,,Artificial intelligence,,Nuclear power,,,Military drones,,,,Facial recognition algorithms,,3,1,4,5,3,Facial recognition algorithms,Facial recognition algorithms,11346,6755,6836,5545,3872,5148,1945,7875,7039,10220,WEST,HI,5.0,3.3333333333333335,6.666666666666666,6.666666666666666,3.3333333333333335,0.0,5.0,3.3333333333333335,3.3333333333333335,10.0,46.666666666666664
1052701895,2020-12-10 15:00:00,Complete,Mobile App,Male,55-64,US-MIDWEST-WI,1.3992755,,,,,,,None of the above,New vaccine development,,,,,,,,,,,,,None of the above,,,,,,,None of the above,1,3,2,4,3,Medical and health fields,Medical and health fields,7357,5033,3724,8520,8284,13784,97617,16216,15673,104261,MIDWEST,WI,0.0,1.6666666666666667,10.0,10.0,0.0,3.3333333333333335,1.6666666666666667,5.0,3.3333333333333335,10.0,45.0
1080763518,2020-12-09 18:00:00,Complete,Mobile App,Male,18-24,US-MIDWEST-ND,0.6658225,,Brain implants,,Artificial intelligence,,,,,,Self-driving cars,,Robotics,,,,,,,,,None of the above,,Military drones,,,,,,4,6,4,4,3,Robotics,Robotics,15996,12864,8949,11181,3658,3592,3404,44910,6516,22246,MIDWEST,ND,3.3333333333333335,3.3333333333333335,10.0,8.333333333333334,5.0,8.333333333333334,5.0,5.0,3.3333333333333335,10.0,61.66666666666667
1091616931,2020-12-09 19:00:00,Complete,Mobile App,Male,18-24,US-WEST-CO,0.6340627,,,,,,,None of the above,,Military drones,,,,,,Genetic engineering,,Synthetic materials,Artificial intelligence,,Nuclear power,,,,Self-driving cars,,Robotics,Facial recognition algorithms,,2,1,1,7,1,None,None,12298,15346,15806,16541,6192,4058,2708,13509,11529,27456,WEST,CO,0.0,1.6666666666666667,3.333333333333333,5.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,11.666666666666666
1095649671,2020-12-10 04:00:00,Complete,Mobile App,Male,65+,US-SOUTH-LA,1.0829235,Genetic engineering,Brain implants,,,,Nuclear power,,,,,,,,None of the above,,,,,,Nuclear power,,,,,,,,None of the above,4,4,4,4,4,Clean water,Clean water,73160,30400,30453,16007,20999,9550,4241,26384,18352,115207,SOUTH,LA,5.0,0.0,8.333333333333334,10.0,5.0,5.0,5.0,5.0,5.0,10.0,58.333333333333336
1101098351,2020-12-10 00:00:00,Complete,Mobile App,Female,35-44,US-WEST-OR,1.0688138,Genetic engineering,,Synthetic materials,,,,,,,Self-driving cars,,,,,,,,,,,None of the above,New vaccine development,,,,,,,2,6,2,5,2,None,None,9470,10761,6627,11110,3966,1976,1987,5993,3140,13572,WEST,OR,3.3333333333333335,1.6666666666666667,10.0,8.333333333333334,1.6666666666666667,8.333333333333334,1.6666666666666667,3.3333333333333335,1.6666666666666667,0.0,40.0
1104789889,2020-12-11 11:00:00,Complete,Mobile App,Male,18-24,US-SOUTH-NC,0.6691331,Genetic engineering,,,,,Nuclear power,,New vaccine development,,Self-driving cars,,,Facial recognition algorithms,,,,,Artificial intelligence,,,,,,,,Robotics,,,2,6,5,5,2,Vaccine,Vaccines,18021,8815,8299,7339,6188,2598,2582,14671,8924,37530,SOUTH,NC,3.3333333333333335,5.0,8.333333333333334,8.333333333333334,1.6666666666666667,8.333333333333334,6.666666666666667,3.3333333333333335,1.6666666666666667,10.0,56.666666666666664
1105652993,2020-12-10 13:00:00,Complete,Mobile App,Male,65+,US-SOUTH-AL,1.0829235,,Brain implants,,,,,,,,,,,,None of the above,Genetic engineering,,Synthetic materials,Artificial intelligence,,Nuclear power,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,4,3,1,6,2,Gene spitting,Gene spitting,64262,19160,27233,27278,10306,21754,10157,17146,17960,110227,SOUTH,AL,1.6666666666666667,0.0,3.333333333333333,0.0,5.0,3.3333333333333335,0.0,1.6666666666666667,1.6666666666666667,10.0,26.666666666666668
