User ID,Time (UTC),Survey Completion,Publisher Category,Gender,Age,Geography,Weight,Question #1 Answer 1: Genetic engineering,Question #1 Answer 2: Brain implants,Question #1 Answer 3: Synthetic materials,Question #1 Answer 4: Artificial intelligence,Question #1 Answer 5: Quantum computing,Question #1 Answer 6: Nuclear power,Question #1 Answer: None of the above,Question #2 Answer 1: New vaccine development,Question #2 Answer 2: Military drones,Question #2 Answer 3: Self-driving cars,Question #2 Answer 4: Satellite internet service,Question #2 Answer 5: Robotics,Question #2 Answer 6: Facial recognition algorithms,Question #2 Answer: None of the above,Question #3 Answer 1: Genetic engineering,Question #3 Answer 2: Brain implants,Question #3 Answer 3: Synthetic materials,Question #3 Answer 4: Artificial intelligence,Question #3 Answer 5: Quantum computing,Question #3 Answer 6: Nuclear power,Question #3 Answer: None of the above,Question #4 Answer 1: New vaccine development,Question #4 Answer 2: Military drones,Question #4 Answer 3: Self-driving cars,Question #4 Answer 4: Satellite internet service,Question #4 Answer 5: Robotics,Question #4 Answer 6: Facial recognition algorithms,Question #4 Answer: None of the above,Question #5 Answer,Question #6 Answer,Question #7 Answer,Question #8 Answer,Question #9 Answer,Question #10 Synonym Group,Question #10 Raw Response,Response Time #1 (ms),Response Time #2 (ms),Response Time #3 (ms),Response Time #4 (ms),Response Time #5 (ms),Response Time #6 (ms),Response Time #7 (ms),Response Time #8 (ms),Response Time #9 (ms),Response Time #10 (ms),Region,State,Q1_Score,Q2_Score,Q3_Score,Q4_Score,Q5_Score,Q6_Score,Q7_Score,Q8_Score,Q9_Score,Q10_Score,Total_Score
1021147487,2020-10-14 16:00:00,Complete,Mobile App,Male,25-34,US-MIDWEST-OH,0.4581498,Genetic engineering,Brain implants,,,,,,,Military drones,Self-driving cars,,,,,,,,,,,None of the above,,,Self-driving cars,,,,,3,7,4,5,6,Idk,Don't know,22441,23489,7664,8647,12893,3740,2402,15104,10809,50331,MIDWEST,OH,3.3333333333333335,3.3333333333333335,10.0,8.333333333333334,3.3333333333333335,10.0,5.0,3.3333333333333335,8.333333333333334,10.0,65.0
1029135716,2020-10-14 17:00:00,Complete,Mobile App,Male,35-44,US-SOUTH-VA,0.7434415,Genetic engineering,,,Artificial intelligence,,Nuclear power,,,,Self-driving cars,,Robotics,Facial recognition algorithms,,,,Synthetic materials,Artificial intelligence,,Nuclear power,,,,Self-driving cars,,Robotics,Facial recognition algorithms,,4,5,4,3,4,Idk,Not sure,16818,11258,9716,16569,6768,3142,3178,13818,4424,30781,SOUTH,VA,5.0,5.0,5.0,5.0,5.0,6.666666666666667,5.0,6.666666666666667,5.0,10.0,58.333333333333336
103065707,2020-10-14 23:00:00,Complete,Mobile App,Male,25-34,US-WEST-NM,0.4939591,Genetic engineering,,,,,,,,,Self-driving cars,,,,,Genetic engineering,Brain implants,Synthetic materials,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,,,1,7,2,6,1,"Farming technology. We need advancements, maybe radical, that can help to end global hunger and advance space travel.","Farming technology. We need advancements, maybe radical, that can help to end global hunger and advance space travel.",35372,38519,28963,32996,7781,8532,16120,20043,12430,194360,WEST,NM,1.6666666666666667,1.6666666666666667,0.0,1.666666666666666,0.0,10.0,1.6666666666666667,1.6666666666666667,0.0,10.0,28.333333333333336
1069024216,2020-10-15 10:00:00,Complete,Mobile App,Male,25-34,US-MIDWEST-MO,0.4581498,,,,,,,None of the above,,,,,,,None of the above,,,,Artificial intelligence,,Nuclear power,,,,,Satellite internet service,,,,4,2,1,7,2,None,None,13976,13566,23198,13563,15287,10470,3896,35875,18269,29373,MIDWEST,MO,0.0,0.0,6.666666666666666,8.333333333333334,5.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,23.333333333333336
1081185896,2020-10-14 16:00:00,Complete,Mobile App,Female,18-24,US-NORTHEAST-NJ,0.6722174,Genetic engineering,Brain implants,,,,Nuclear power,,New vaccine development,Military drones,,Satellite internet service,,Facial recognition algorithms,,,,,Artificial intelligence,Quantum computing,,,,,Self-driving cars,,,Facial recognition algorithms,,2,2,5,5,4,Idk,Idk,13827,16655,12321,8199,5760,1833,2417,8615,5808,10294,NORTHEAST,NJ,5.0,6.666666666666667,6.666666666666666,6.666666666666666,1.6666666666666667,1.6666666666666667,6.666666666666667,3.3333333333333335,5.0,10.0,53.333333333333336
1092147137,2020-10-16 01:00:00,Complete,Mobile App,Female,35-44,US-SOUTH-KY,1.0359526,Genetic engineering,Brain implants,,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,,Self-driving cars,,Robotics,Facial recognition algorithms,,Genetic engineering,Brain implants,,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,,Self-driving cars,,Robotics,Facial recognition algorithms,,7,7,7,1,7,Genetic engineering,Genetic engineering,15849,12081,19240,9823,5099,2395,1690,12727,5945,19826,SOUTH,KY,8.333333333333334,6.666666666666667,1.666666666666666,3.333333333333333,10.0,10.0,10.0,10.0,10.0,10.0,80.0
1114709076,2020-10-15 05:00:00,Complete,Mobile App,Female,18-24,US-WEST-WY,0.5899117,Genetic engineering,Brain implants,Synthetic materials,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,Genetic engineering,,Synthetic materials,,Quantum computing,Nuclear power,,New vaccine development,Military drones,,Satellite internet service,,Facial recognition algorithms,,5,5,5,4,3,Security,Security,10868,15581,18571,11104,5447,2487,2212,16279,5488,19862,WEST,WY,10.0,10.0,3.333333333333333,3.333333333333333,6.666666666666667,6.666666666666667,6.666666666666667,5.0,3.3333333333333335,10.0,65.0
1159405032,2020-10-15 02:00:00,Complete,Mobile App,Male,25-34,US-SOUTH-TX,0.6998774,Genetic engineering,Brain implants,Synthetic materials,,,,,New vaccine development,,,,,,,,,,Artificial intelligence,Quantum computing,Nuclear power,,New vaccine development,Military drones,Self-driving cars,Satellite internet service,Robotics,Facial recognition algorithms,,2,1,3,5,2,Big tech,Big tech,18173,11036,24168,11426,7970,13597,8584,10362,11309,25078,SOUTH,TX,5.0,1.6666666666666667,5.0,0.0,1.6666666666666667,0.0,3.3333333333333335,3.3333333333333335,1.6666666666666667,10.0,31.666666666666668
1165335898,2020-10-14 18:00:00,Complete,Mobile App,Female,18-24,US-SOUTH-KY,0.8358302,Genetic engineering,Brain implants,,,,Nuclear power,,,Military drones,Self-driving cars,,Robotics,Facial recognition algorithms,,Genetic engineering,Brain implants,,Artificial intelligence,,Nuclear power,,,Military drones,Self-driving cars,,Robotics,Facial recognition algorithms,,6,6,7,4,5,Security cameras; it seems like every day there's a story in the news about them getting hacked,Security cameras; it seems like every day there's a story in the news about them getting hacked,7267,7059,7452,6239,2842,2622,3233,8366,5067,61037,SOUTH,KY,5.0,6.666666666666667,3.333333333333333,3.333333333333333,8.333333333333334,8.333333333333334,10.0,5.0,6.666666666666667,10.0,66.66666666666666
1177277834,2020-10-16 01:00:00,Complete,Mobile App,Female,45-54,US-NORTHEAST-ME,1.9241365,,,Synthetic materials,Artificial intelligence,,Nuclear power,,,Military drones,,,,,,Genetic engineering,,Synthetic materials,Artificial intelligence,,Nuclear power,,New vaccine development,,,,Robotics,Facial recognition algorithms,,4,1,3,3,3,Idk,Not sure,19662,21955,20202,12147,9660,5145,6172,9689,8934,15472,NORTHEAST,ME,5.0,1.6666666666666667,3.333333333333333,5.0,5.0,0.0,3.3333333333333335,6.666666666666667,3.3333333333333335,10.0,43.333333333333336
