User ID,Time (UTC),Survey Completion,Publisher Category,Gender,Age,Geography,Weight,Question #1 Answer 1: Genetic engineering,Question #1 Answer 2: Brain implants,Question #1 Answer 3: Synthetic materials,Question #1 Answer 4: Artificial intelligence,Question #1 Answer 5: Quantum computing,Question #1 Answer 6: Nuclear power,Question #1 Answer: None of the above,Question #2 Answer 1: New vaccine development,Question #2 Answer 2: Military drones,Question #2 Answer 3: Self-driving cars,Question #2 Answer 4: Satellite internet service,Question #2 Answer 5: Robotics,Question #2 Answer 6: Facial recognition algorithms,Question #2 Answer: None of the above,Question #3 Answer 1: Genetic engineering,Question #3 Answer 2: Brain implants,Question #3 Answer 3: Synthetic materials,Question #3 Answer 4: Artificial intelligence,Question #3 Answer 5: Quantum computing,Question #3 Answer 6: Nuclear power,Question #3 Answer: None of the above,Question #4 Answer 1: New vaccine development,Question #4 Answer 2: Military drones,Question #4 Answer 3: Self-driving cars,Question #4 Answer 4: Satellite internet service,Question #4 Answer 5: Robotics,Question #4 Answer 6: Facial recognition algorithms,Question #4 Answer: None of the above,Question #5 Answer,Question #6 Answer,Question #7 Answer,Question #8 Answer,Question #9 Answer,Question #10 Synonym Group,Question #10 Raw Response,Response Time #1 (ms),Response Time #2 (ms),Response Time #3 (ms),Response Time #4 (ms),Response Time #5 (ms),Response Time #6 (ms),Response Time #7 (ms),Response Time #8 (ms),Response Time #9 (ms),Response Time #10 (ms),Region,State,Q1_Score,Q2_Score,Q3_Score,Q4_Score,Q5_Score,Q6_Score,Q7_Score,Q8_Score,Q9_Score,Q10_Score,Total_Score
1011348678,2020-11-11 22:00:00,Complete,Mobile App,Male,18-24,US-SOUTH-OK,0.9009309,,,,,,,None of the above,New vaccine development,,,,,,,,,,,,,None of the above,,,,,,,None of the above,1,1,1,7,1,None,None,8038,13666,11919,11391,6296,1669,2594,9781,5235,9287,SOUTH,OK,0.0,1.6666666666666667,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,21.666666666666664
1023949959,2020-11-11 18:00:00,Complete,Mobile App,Male,45-54,US-NORTHEAST-PA,0.989828,Genetic engineering,,,,,,,,,,,,,None of the above,,,,,,,None of the above,,,,,,,None of the above,5,7,4,4,3,Social Media,Social media,13795,18963,6516,9705,9384,7713,5607,12730,10182,17615,NORTHEAST,PA,1.6666666666666667,0.0,10.0,10.0,6.666666666666667,10.0,5.0,5.0,3.3333333333333335,10.0,61.666666666666664
1038779766,2020-11-11 22:00:00,Complete,Mobile App,Female,45-54,US-SOUTH-WV,1.2530204,,Brain implants,,,,Nuclear power,,,Military drones,Self-driving cars,,,,,,,,,,Nuclear power,,,Military drones,,Satellite internet service,,,,3,3,3,4,4,Drones,Drones,19205,15136,11603,12930,5976,3960,4937,11076,10993,11405,SOUTH,WV,3.3333333333333335,3.3333333333333335,8.333333333333334,6.666666666666666,3.3333333333333335,3.3333333333333335,3.3333333333333335,5.0,5.0,10.0,51.66666666666666
1050387963,2020-11-12 10:00:00,Complete,Mobile App,Male,45-54,US-NORTHEAST-NY,0.989828,,,,,,Nuclear power,,,,Self-driving cars,,,Facial recognition algorithms,,,,Synthetic materials,,,Nuclear power,,,Military drones,Self-driving cars,,,,,5,5,5,4,6,,,9373,54680,23175,10906,11912,3811,4158,10638,10348,26409,NORTHEAST,NY,1.6666666666666667,3.3333333333333335,6.666666666666666,6.666666666666666,6.666666666666667,6.666666666666667,6.666666666666667,5.0,8.333333333333334,0.0,51.66666666666667
1064167877,2020-11-11 20:00:00,Complete,Mobile App,Male,25-34,US-SOUTH-TN,0.6983075,,Brain implants,,,,Nuclear power,,,Military drones,,,Robotics,,,,,,,,,None of the above,,,,,,,None of the above,4,3,3,4,4,Spyware,Spyware,11345,13220,19382,3077,4062,3506,2342,8393,3113,16813,SOUTH,TN,3.3333333333333335,3.3333333333333335,10.0,10.0,5.0,3.3333333333333335,3.3333333333333335,5.0,5.0,10.0,58.333333333333336
1097447963,2020-11-12 08:00:00,Complete,Mobile App,Female,25-34,US-WEST-MT,0.5885035,,Brain implants,,,,Nuclear power,,,Military drones,,,,,,,,,,,,None of the above,,,,,,,None of the above,3,4,3,5,3,None,None,22847,25918,7424,4760,5354,3769,3653,10328,8264,22953,WEST,MT,3.3333333333333335,1.6666666666666667,10.0,10.0,3.3333333333333335,5.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.0,43.333333333333336
1111885644,2020-11-11 18:00:00,Complete,Mobile App,Male,35-44,US-MIDWEST-MO,0.7673223,,,,,,,None of the above,,,,,,,None of the above,Genetic engineering,,,,,,,New vaccine development,,,,,,,1,1,1,7,1,None,None,5467,4812,8273,5248,2408,1345,1361,6791,2538,5183,MIDWEST,MO,0.0,0.0,8.333333333333334,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668
111668317,2020-11-12 07:00:00,Complete,Mobile App,Male,35-44,US-SOUTH-FL,0.9880552,,,,Artificial intelligence,,,,New vaccine development,,,,,Facial recognition algorithms,,Genetic engineering,,,Artificial intelligence,,,,,,,,,Facial recognition algorithms,,5,5,7,4,5,Social credit systems,Social credit systems,10341,6338,9818,5567,2904,2784,1807,7349,3938,17751,SOUTH,FL,1.6666666666666667,3.3333333333333335,6.666666666666666,8.333333333333334,6.666666666666667,6.666666666666667,10.0,5.0,6.666666666666667,10.0,65.0
111889017,2020-11-12 06:00:00,Complete,Mobile App,Female,18-24,US-SOUTH-NC,0.8350917,Genetic engineering,Brain implants,,,,,,,Military drones,Self-driving cars,,,,,,,,,,,None of the above,,,,,,,None of the above,4,5,4,5,4,,I don't know.,23749,16028,33191,6072,21195,4588,4618,8868,8142,45764,SOUTH,NC,3.3333333333333335,3.3333333333333335,10.0,10.0,5.0,6.666666666666667,5.0,3.3333333333333335,5.0,0.0,51.66666666666667
11327484,2020-11-12 11:00:00,Complete,Mobile App,Female,45-54,US-SOUTH-TX,1.2530204,Genetic engineering,,,Artificial intelligence,,,,New vaccine development,,Self-driving cars,,,Facial recognition algorithms,,,,Synthetic materials,,Quantum computing,,,,,Self-driving cars,Satellite internet service,,,,5,4,6,3,4,Artificial intelligence,Artificial intelligence,24652,35327,11310,14638,4985,2640,2905,11047,4929,12726,SOUTH,TX,3.3333333333333335,5.0,6.666666666666666,6.666666666666666,6.666666666666667,5.0,8.333333333333334,6.666666666666667,5.0,10.0,63.33333333333333
